m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,74.306159107,74.306159,726.723069
29500,29500,29500,54.488578466,54.488578,942.302982
29000,29000,29000,41.374295515,41.374296,1178.944545
28500,28500,28500,38.631909461,38.631909,1198.445809
28000,28000,28000,41.496627582,41.496628,1058.013688
27500,27500,27500,40.794433135,40.794433,1019.593773
27000,27000,27000,41.477391687,41.477392,949.095360
26500,26500,26500,33.392899835,33.392900,1114.585741
26000,26000,26000,39.997398862,39.997399,878.857151
25500,25500,25500,45.825636639,45.825637,723.672434
25000,25000,25000,27.330574158,27.330574,1143.408105
24500,24500,24500,41.041427226,41.041427,716.647836
24000,24000,24000,27.692729569,27.692730,998.384790
23500,23500,23500,40.984097435,40.984097,633.312715
23000,23000,23000,30.130058281,30.130058,807.632026
22500,22500,22500,36.740525497,36.740525,620.057816
22000,22000,22000,32.029350353,32.029350,664.890164
21500,21500,21500,21.136099848,21.136100,940.417113
21000,21000,21000,20.729420302,20.729420,893.512685
20500,20500,20500,22.120857348,22.120857,778.914204
20000,20000,20000,21.909758835,21.909759,730.268193
19500,19500,19500,21.629711703,21.629712,685.619402
19000,19000,19000,20.487542227,20.487542,669.577632
18500,18500,18500,18.955276461,18.955276,668.059367
18000,18000,18000,18.719766145,18.719766,623.084707
17500,17500,17500,16.149362876,16.149363,663.725875
17000,17000,17000,15.511480768,15.511481,633.466279
16500,16500,16500,10.915499839,10.915500,823.072707
16000,16000,16000,10.182154824,10.182155,804.544828
15500,15500,15500,9.524311978,9.524312,781.972495
15000,15000,15000,10.801434938,10.801435,624.916971
14500,14500,14500,9.254526728,9.254527,658.839742
14000,14000,14000,9.113802764,9.113803,602.163569
13500,13500,13500,8.327755561,8.327756,590.885499
13000,13000,13000,6.390450705,6.390451,687.588435
12500,12500,12500,5.734950562,5.734951,681.130545
12000,12000,12000,4.169728484,4.169728,828.830945
11500,11500,11500,3.804633168,3.804633,799.485750
11000,11000,11000,4.156324063,4.156324,640.469790
10500,10500,10500,3.085937715,3.085938,750.258176
10000,10000,10000,2.722748970,2.722749,734.551742
9500,9500,9500,2.824846404,2.824846,607.024155
9000,9000,9000,2.413442918,2.413443,604.116215
8500,8500,8500,1.987312850,1.987313,618.045619
8000,8000,8000,1.810109844,1.810110,565.711525
7500,7500,7500,1.492916903,1.492917,565.168763
7000,7000,7000,1.227827765,1.227828,558.710285
6500,6500,6500,0.980223444,0.980223,560.331426
6000,6000,6000,0.769060876,0.769061,561.724063
5500,5500,5500,0.586237020,0.586237,567.603185
5000,5000,5000,0.421842698,0.421843,592.637970
4500,4500,4500,0.285127681,0.285128,639.187326
4000,4000,4000,0.194040788,0.194041,659.655124
3500,3500,3500,0.115658871,0.115659,741.404436
3000,3000,3000,0.075638709,0.075639,713.920170
2500,2500,2500,0.054601897,0.054602,572.324438
2000,2000,2000,0.037970642,0.037971,421.378179
30000,30000,30000,74.308908778,74.308909,726.696178
29500,29500,29500,44.611504555,44.611505,1150.930696
29000,29000,29000,52.930066470,52.930066,921.555616
28500,28500,28500,45.249372600,45.249373,1023.179932
28000,28000,28000,41.288231844,41.288232,1063.353843
