m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,65.888568949,65.888569,819.565531
29500,29500,29500,54.276786408,54.276786,945.979919
29000,29000,29000,42.971754074,42.971754,1135.117731
28500,28500,28500,38.962648994,38.962649,1188.272646
28000,28000,28000,34.247669599,34.247670,1281.955839
27500,27500,27500,38.405709773,38.405710,1083.009538
27000,27000,27000,35.810576562,35.810577,1099.284172
26500,26500,26500,33.288190867,33.288191,1118.091703
26000,26000,26000,39.540057938,39.540058,889.022471
25500,25500,25500,37.059001834,37.059002,894.863552
25000,25000,25000,33.770350983,33.770351,925.367936
24500,24500,24500,41.625932826,41.625933,706.584766
24000,24000,24000,34.678344188,34.678344,797.269900
23500,23500,23500,36.693887968,36.693888,707.358948
23000,23000,23000,36.953411577,36.953412,658.504830
22500,22500,22500,34.904154003,34.904154,652.680194
22000,22000,22000,33.888414137,33.888414,628.415361
21500,21500,21500,21.375984501,21.375985,929.863605
21000,21000,21000,29.816132265,29.816132,621.207333
20500,20500,20500,19.899180462,19.899180,865.877368
20000,20000,20000,21.693472851,21.693473,737.549037
19500,19500,19500,17.236822918,17.236823,860.352866
19000,19000,19000,21.205379659,21.205380,646.911313
18500,18500,18500,18.668326344,18.668326,678.328082
18000,18000,18000,18.590170747,18.590171,627.428342
17500,17500,17500,17.170736159,17.170736,624.245222
17000,17000,17000,15.773980960,15.773981,622.924551
16500,16500,16500,14.692005257,14.692005,611.506043
16000,16000,16000,10.129857058,10.129857,808.698479
15500,15500,15500,9.491623831,9.491624,784.665525
15000,15000,15000,10.948022704,10.948023,616.549690
14500,14500,14500,9.153481389,9.153481,666.112678
14000,14000,14000,9.083150873,9.083151,604.195623
13500,13500,13500,8.236151538,8.236152,597.457438
13000,13000,13000,6.393039062,6.393039,687.310050
12500,12500,12500,5.730109232,5.730109,681.706027
12000,12000,12000,5.171466535,5.171467,668.282387
11500,11500,11500,4.660053467,4.660053,652.728562
11000,11000,11000,4.162497127,4.162497,639.519961
10500,10500,10500,3.651883388,3.651883,633.987933
10000,10000,10000,3.285537568,3.285538,608.728392
9500,9500,9500,2.832249797,2.832250,605.437417
9000,9000,9000,2.411474011,2.411474,604.609460
8500,8500,8500,1.968956983,1.968957,623.807432
8000,8000,8000,1.797703027,1.797703,569.615773
7500,7500,7500,1.508755719,1.508756,559.235660
7000,7000,7000,1.228472604,1.228473,558.417011
6500,6500,6500,0.967291408,0.967291,567.822680
6000,6000,6000,0.765103561,0.765104,564.629446
5500,5500,5500,0.594334337,0.594334,559.870058
5000,5000,5000,0.429522335,0.429522,582.041909
4500,4500,4500,0.293415014,0.293415,621.133859
4000,4000,4000,0.193738103,0.193738,660.685730
3500,3500,3500,0.124047051,0.124047,691.269960
3000,3000,3000,0.080088409,0.080088,674.254873
2500,2500,2500,0.060236560,0.060237,518.787925
2000,2000,2000,0.041393982,0.041394,386.529617
30000,30000,30000,75.821297563,75.821298,712.200948
29500,29500,29500,42.844636459,42.844636,1198.393877
29000,29000,29000,53.156052517,53.156053,917.637742
28500,28500,28500,44.470862696,44.470863,1041.091789
28000,28000,28000,65.809421189,65.809421,667.138522
27500,27500,27500,33.240188004,33.240188,1251.309108
27000,27000,27000,56.069354256,56.069354,702.094763
26500,26500,26500,38.546277761,38.546278,965.573128
26000,26000,26000,35.601820663,35.601821,987.365234
25500,25500,25500,31.648376305,31.648376,1047.849965
25000,25000,25000,34.914766854,34.914767,895.036766
24500,24500,24500,36.682387143,36.682387,801.808505
24000,24000,24000,33.264412142,33.264412,831.158533
23500,23500,23500,35.108722361,35.108722,739.296342
23000,23000,23000,33.937111797,33.937112,717.032143
22500,22500,22500,34.230427126,34.230427,665.526314
22000,22000,22000,33.896388705,33.896389,628.267518
21500,21500,21500,21.471765644,21.471766,925.715674
21000,21000,21000,20.675471511,20.675472,895.844140
20500,20500,20500,18.073626537,18.073627,953.336618
20000,20000,20000,20.253753331,20.253753,789.977035
19500,19500,19500,19.229984840,19.229985,771.178455
19000,19000,19000,21.261728667,21.261729,645.196833
18500,18500,18500,10.971278419,10.971278,1154.218270
18000,18000,18000,18.503942023,18.503942,630.352170
17500,17500,17500,17.173024152,17.173024,624.162052
17000,17000,17000,15.434357259,15.434357,636.631629
16500,16500,16500,8.786672384,8.786672,1022.486057
16000,16000,16000,10.116209742,10.116210,809.789458
15500,15500,15500,9.473565538,9.473566,786.161237
15000,15000,15000,10.964253165,10.964253,615.637007
14500,14500,14500,9.101796450,9.101796,669.895227
14000,14000,14000,9.094050505,9.094051,603.471467
13500,13500,13500,8.200558934,8.200559,600.050562
13000,13000,13000,6.378451632,6.378452,688.881919
12500,12500,12500,5.714005724,5.714006,683.627247
12000,12000,12000,5.170465790,5.170466,668.411733
11500,11500,11500,4.617217773,4.617218,658.784175
11000,11000,11000,4.144817096,4.144817,642.247882
10500,10500,10500,3.670021571,3.670022,630.854603
10000,10000,10000,3.279728248,3.279728,609.806621
9500,9500,9500,2.833828237,2.833828,605.100188
9000,9000,9000,2.410884664,2.410885,604.757259
8500,8500,8500,1.965585617,1.965586,624.877385
8000,8000,8000,1.807805563,1.807806,566.432597
7500,7500,7500,1.505452180,1.505452,560.462837
7000,7000,7000,1.244734086,1.244734,551.121728
