m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,54.270789298,54.270789,995.010404
29500,29500,29500,50.469495523,50.469496,1017.342247
29000,29000,29000,52.702173016,52.702173,925.540584
28500,28500,28500,52.395658377,52.395658,883.627603
28000,28000,28000,51.479519347,51.479519,852.844016
27500,27500,27500,56.996001820,56.996002,729.766101
27000,27000,27000,56.118304864,56.118305,701.482343
26500,26500,26500,53.833683120,53.833683,691.374765
26000,26000,26000,52.214002162,52.214002,673.229374
25500,25500,25500,44.787552200,44.787552,740.445690
25000,25000,25000,43.753869418,43.753869,714.222546
24500,24500,24500,27.320443356,27.320443,1076.565619
24000,24000,24000,26.334530229,26.334530,1049.876332
23500,23500,23500,26.917247676,26.917248,964.279495
23000,23000,23000,23.127638054,23.127638,1052.161053
22500,22500,22500,21.796678243,21.796678,1045.170725
22000,22000,22000,25.583044554,25.583045,832.426334
21500,21500,21500,22.904915776,22.904916,867.794066
21000,21000,21000,25.159270487,25.159270,736.189867
20500,20500,20500,20.722380172,20.722380,831.480257
20000,20000,20000,19.475062447,19.475062,821.563476
19500,19500,19500,20.659794361,20.659794,717.807241
19000,19000,19000,20.202645179,20.202645,679.019994
18500,18500,18500,20.282630651,20.282631,624.339624
18000,18000,18000,18.258542909,18.258543,638.824251
17500,17500,17500,17.302604894,17.302605,619.487647
17000,17000,17000,15.524555364,15.524555,632.932781
16500,16500,16500,14.860512321,14.860512,604.572023
16000,16000,16000,10.154397654,10.154398,806.744061
15500,15500,15500,9.530288770,9.530289,781.482091
15000,15000,15000,7.412041245,7.412041,910.680307
14500,14500,14500,6.894634017,6.894634,884.347158
14000,14000,14000,6.316828955,6.316829,868.790344
13500,13500,13500,5.670505552,5.670506,867.779769
13000,13000,13000,4.667308965,4.667309,941.441853
12500,12500,12500,4.690062480,4.690062,832.878030
12000,12000,12000,4.161290762,4.161291,830.511540
11500,11500,11500,4.644855306,4.644855,654.864318
11000,11000,11000,4.144421154,4.144421,642.309240
10500,10500,10500,3.663544202,3.663544,631.969992
10000,10000,10000,2.701607810,2.701608,740.299903
9500,9500,9500,2.815405956,2.815406,609.059591
9000,9000,9000,2.401865717,2.401866,607.028107
8500,8500,8500,2.149232412,2.149232,571.483099
8000,8000,8000,1.797137093,1.797137,569.795150
7500,7500,7500,1.495884096,1.495884,564.047711
7000,7000,7000,1.227026275,1.227026,559.075233
6500,6500,6500,0.967608864,0.967609,567.636387
6000,6000,6000,0.759207133,0.759207,569.014675
5500,5500,5500,0.589445344,0.589445,564.513747
5000,5000,5000,0.436550622,0.436551,572.671272
4500,4500,4500,0.289668315,0.289668,629.167881
4000,4000,4000,0.198897318,0.198897,643.548145
3500,3500,3500,0.118696869,0.118697,722.428491
3000,3000,3000,0.074296715,0.074297,726.815445
2500,2500,2500,0.053346226,0.053346,585.795891
2000,2000,2000,0.035010536,0.035011,457.005285
30000,30000,30000,53.189656510,53.189657,1015.234983
29500,29500,29500,54.055061388,54.055061,949.860174
29000,29000,29000,52.693475740,52.693476,925.693348
28500,28500,28500,56.886580455,56.886580,813.869451
28000,28000,28000,52.444244738,52.444245,837.155730
27500,27500,27500,55.646619165,55.646619,747.462301
27000,27000,27000,55.375459648,55.375460,710.892519
26500,26500,26500,53.542365275,53.542365,695.136455
26000,26000,26000,53.776074983,53.776075,653.673590
25500,25500,25500,44.999021622,44.999022,736.966023
25000,25000,25000,43.958894699,43.958895,710.891396
24500,24500,24500,27.263492455,27.263492,1078.814464
24000,24000,24000,26.364979234,26.364979,1048.663826
23500,23500,23500,26.678530259,26.678530,972.907793
23000,23000,23000,23.833022139,23.833022,1021.020325
22500,22500,22500,20.131191166,20.131191,1131.639445
22000,22000,22000,25.309095322,25.309095,841.436635
21500,21500,21500,21.446683268,21.446683,926.798319
21000,21000,21000,23.735871587,23.735872,780.337892
20500,20500,20500,20.735323025,20.735323,830.961253
20000,20000,20000,21.214885162,21.214885,754.187443
19500,19500,19500,21.393260600,21.393261,693.197277
19000,19000,19000,20.250760764,20.250761,677.406650
18500,18500,18500,20.602866697,20.602867,614.635341
18000,18000,18000,18.396888641,18.396889,634.020254
17500,17500,17500,17.271180719,17.271181,620.614779
17000,17000,17000,15.501509916,15.501510,633.873736
16500,16500,16500,14.875329869,14.875330,603.969800
16000,16000,16000,10.186038681,10.186039,804.238061
15500,15500,15500,8.130004534,8.130005,916.081900
15000,15000,15000,7.414771559,7.414772,910.344971
14500,14500,14500,6.918158857,6.918159,881.339982
14000,14000,14000,6.156541074,6.156541,891.409630
13500,13500,13500,5.621397147,5.621397,875.360675
13000,13000,13000,5.202143606,5.202144,844.651808
12500,12500,12500,4.715333850,4.715334,828.414302
12000,12000,12000,4.188238100,4.188238,825.167987
11500,11500,11500,4.628442470,4.628442,657.186520
11000,11000,11000,4.157629520,4.157630,640.268688
10500,10500,10500,3.659788185,3.659788,632.618579
10000,10000,10000,2.717253636,2.717254,736.037289
9500,9500,9500,2.811384504,2.811385,609.930800
9000,9000,9000,2.411954288,2.411954,604.489068
8500,8500,8500,2.156344820,2.156345,569.598141
8000,8000,8000,1.795457652,1.795458,570.328127
7500,7500,7500,1.500374823,1.500375,562.359476
7000,7000,7000,1.231122733,1.231123,557.214956
6500,6500,6500,0.970154500,0.970155,566.146938
6000,6000,6000,0.760440019,0.760440,568.092143
5500,5500,5500,0.593345475,0.593345,560.803131
5000,5000,5000,0.429134087,0.429134,582.568497
4500,4500,4500,0.292371986,0.292372,623.349735
4000,4000,4000,0.192041435,0.192041,666.522826
3500,3500,3500,0.113731750,0.113732,753.967120
3000,3000,3000,0.073033602,0.073034,739.385687
2500,2500,2500,0.052208882,0.052209,598.557157
2000,2000,2000,0.034600666,0.034601,462.418845
30000,30000,30000,51.859590948,51.859591,1041.273157
29500,29500,29500,51.194036507,51.194037,1002.943966
29000,29000,29000,53.221862818,53.221863,916.503058
28500,28500,28500,54.325655088,54.325655,852.235466
