m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,40.996007749,40.996008,1317.201429
29500,29500,29500,44.537316740,44.537317,1152.847853
29000,29000,29000,42.764389072,42.764389,1140.621930
28500,28500,28500,43.526579007,43.526579,1063.677667
28000,28000,28000,40.932278442,40.932278,1072.600932
27500,27500,27500,44.581714664,44.581715,932.977798
27000,27000,27000,40.979254041,40.979254,960.632421
26500,26500,26500,37.820112644,37.820113,984.112616
26000,26000,26000,39.078276439,39.078276,899.527902
25500,25500,25500,38.594796411,38.594796,859.254435
25000,25000,25000,39.873140388,39.873140,783.735610
24500,24500,24500,39.837540084,39.837540,738.304874
24000,24000,24000,41.620934354,41.620934,664.281099
23500,23500,23500,40.857954365,40.857954,635.267977
23000,23000,23000,39.091268367,39.091268,622.491953
22500,22500,22500,23.304768201,23.304768,977.536005
22000,22000,22000,21.951069246,21.951069,970.157752
21500,21500,21500,22.607733914,22.607734,879.201342
21000,21000,21000,19.123996340,19.123996,968.521415
20500,20500,20500,18.091948400,18.091948,952.371166
20000,20000,20000,16.503714062,16.503714,969.478745
19500,19500,19500,19.532982271,19.532982,759.215863
19000,19000,19000,20.137205905,20.137206,681.226584
18500,18500,18500,19.213610460,19.213610,659.077066
18000,18000,18000,17.121195895,17.121196,681.260823
17500,17500,17500,17.213764653,17.213765,622.684823
17000,17000,17000,15.465476275,15.465476,635.350624
16500,16500,16500,14.757130902,14.757131,608.807366
16000,16000,16000,10.092711406,10.092711,811.674848
15500,15500,15500,7.712168395,7.712168,965.714131
15000,15000,15000,8.752741879,8.752742,771.186914
14500,14500,14500,8.162798765,8.162799,746.955814
14000,14000,14000,7.413273619,7.413274,740.293733
13500,13500,13500,6.826604282,6.826604,720.819575
13000,13000,13000,5.042022125,5.042022,871.475747
12500,12500,12500,4.331073230,4.331073,901.912711
12000,12000,12000,3.983074186,3.983074,867.671512
11500,11500,11500,3.584707896,3.584708,848.534968
11000,11000,11000,4.141591613,4.141592,642.748066
10500,10500,10500,3.661695292,3.661695,632.289094
10000,10000,10000,3.303397354,3.303397,605.437308
9500,9500,9500,2.817099912,2.817100,608.693356
9000,9000,9000,2.416458782,2.416459,603.362247
8500,8500,8500,2.152583889,2.152584,570.593326
8000,8000,8000,1.801358773,1.801359,568.459773
7500,7500,7500,1.497642577,1.497643,563.385425
7000,7000,7000,1.230251319,1.230251,557.609644
6500,6500,6500,0.979167321,0.979167,560.935795
6000,6000,6000,0.768566905,0.768567,562.085093
5500,5500,5500,0.587232070,0.587232,566.641396
5000,5000,5000,0.432798424,0.432798,577.636114
4500,4500,4500,0.291734327,0.291734,624.712223
4000,4000,4000,0.199409584,0.199410,641.894925
3500,3500,3500,0.126316959,0.126317,678.847881
3000,3000,3000,0.081396384,0.081396,663.420134
2500,2500,2500,0.058904323,0.058904,530.521334
2000,2000,2000,0.039868993,0.039869,401.314375
30000,30000,30000,55.264425860,55.264426,977.120438
29500,29500,29500,43.641629819,43.641630,1176.508536
29000,29000,29000,41.983021587,41.983022,1161.850628
28500,28500,28500,38.086213988,38.086214,1215.617021
28000,28000,28000,42.142751865,42.142752,1041.792433
27500,27500,27500,38.123428724,38.123429,1091.028572
27000,27000,27000,40.312699177,40.312699,976.516105
26500,26500,26500,37.215079211,37.215079,1000.112073
26000,26000,26000,37.394714337,37.394714,940.025900
25500,25500,25500,36.658743493,36.658743,904.634116
25000,25000,25000,40.250103722,40.250104,776.395515
24500,24500,24500,36.296091636,36.296092,810.342069
24000,24000,24000,38.508978632,38.508979,717.962433
23500,23500,23500,40.963792900,40.963793,633.626629
23000,23000,23000,38.941508198,38.941508,624.885915
22500,22500,22500,23.238128944,23.238129,980.339254
22000,22000,22000,22.282993758,22.282994,955.706411
21500,21500,21500,19.608960328,19.608960,1013.656495
21000,21000,21000,19.202687726,19.202688,964.552476
20500,20500,20500,16.979591225,16.979591,1014.762356
20000,20000,20000,20.862635121,20.862635,766.921336
19500,19500,19500,19.053810204,19.053810,778.308897
19000,19000,19000,19.528284862,19.528285,702.468245
18500,18500,18500,19.899641463,19.899641,636.355686
18000,18000,18000,16.419919501,16.419920,710.356710
17500,17500,17500,17.172186689,17.172187,624.192492
17000,17000,17000,15.430875731,15.430876,636.775266
16500,16500,16500,14.626094981,14.626095,614.261702
16000,16000,16000,8.049853114,8.049853,1017.658320
