m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,65.500825509,65.500826,824.417091
30000,30000,30000,71.196640895,71.196641,758.462749
30000,30000,30000,78.445128468,78.445128,688.379267
30000,30000,30000,87.287672779,87.287673,618.644057
30000,30000,30000,98.351587033,98.351587,549.050622
30000,30000,30000,112.353929214,112.353929,480.624046
30000,30000,30000,131.342978767,131.342979,411.137318
30000,30000,30000,158.212305338,158.212305,341.313527
30000,30000,30000,198.599072098,198.599072,271.904594
30000,30000,30000,267.124736018,267.124736,202.152750
30000,30000,30000,404.979019122,404.979019,133.340241
30000,30000,30000,800.981127459,800.981127,67.417319
30000,30000,30000,65.387176045,65.387176,825.850010
30000,30000,30000,71.197460943,71.197461,758.454013
30000,30000,30000,78.429309280,78.429309,688.518113
30000,30000,30000,87.121421098,87.121421,619.824600
30000,30000,30000,98.349923258,98.349923,549.059910
30000,30000,30000,112.296857190,112.296857,480.868311
30000,30000,30000,131.671161568,131.671162,410.112582
30000,30000,30000,158.137091633,158.137092,341.475864
30000,30000,30000,198.578535438,198.578535,271.932714
30000,30000,30000,266.422724185,266.422724,202.685413
30000,30000,30000,404.335404956,404.335405,133.552490
30000,30000,30000,800.860516614,800.860517,67.427472
30000,30000,30000,65.380904633,65.380905,825.929227
30000,30000,30000,71.206700997,71.206701,758.355594
30000,30000,30000,78.487628253,78.487628,688.006520
30000,30000,30000,87.251766672,87.251767,618.898643
30000,30000,30000,98.279849294,98.279849,549.451392
30000,30000,30000,112.336754962,112.336755,480.697524
30000,30000,30000,131.740298732,131.740299,409.897355
30000,30000,30000,157.952301277,157.952301,341.875361
30000,30000,30000,198.429404430,198.429404,272.137087
30000,30000,30000,267.085124958,267.085125,202.182731
30000,30000,30000,404.294256027,404.294256,133.566083
