m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,59.138361299,59.138361,913.112890
29500,29500,29500,55.477782745,55.477783,925.501119
29000,29000,29000,52.528325258,52.528325,928.603754
28500,28500,28500,49.741830143,49.741830,930.770940
28000,28000,28000,47.321762302,47.321762,927.776098
27500,27500,27500,44.948025084,44.948025,925.374361
27000,27000,27000,41.779068163,41.779068,942.242174
26500,26500,26500,40.192310484,40.192310,926.029122
26000,26000,26000,37.520732626,37.520733,936.868700
25500,25500,25500,35.500938388,35.500938,934.137279
25000,25000,25000,33.612144133,33.612144,929.723491
24500,24500,24500,31.369193160,31.369193,937.615764
24000,24000,24000,29.535138567,29.535139,936.105309
23500,23500,23500,28.013202061,28.013202,926.554199
23000,23000,23000,26.329818820,26.329819,924.199295
22500,22500,22500,24.536354767,24.536355,928.469213
22000,22000,22000,23.152841288,23.152841,919.800716
21500,21500,21500,21.501547356,21.501547,924.433468
21000,21000,21000,19.990678244,19.990678,926.531845
20500,20500,20500,18.793937953,18.793938,916.798281
20000,20000,20000,17.022847970,17.022848,939.913229
19500,19500,19500,15.900762332,15.900762,932.643963
19000,19000,19000,14.668154964,14.668155,935.223280
18500,18500,18500,13.579159891,13.579160,932.550327
18000,18000,18000,12.416243955,12.416244,939.414532
17500,17500,17500,11.584171301,11.584171,925.292774
17000,17000,17000,10.624856594,10.624857,924.812482
16500,16500,16500,9.665758279,9.665758,929.492518
16000,16000,16000,8.746266047,8.746266,936.628266
15500,15500,15500,7.966948574,7.966949,934.830937
15000,15000,15000,7.221267037,7.221267,934.739010
14500,14500,14500,6.574865057,6.574865,927.357436
14000,14000,14000,5.853753213,5.853753,937.518170
13500,13500,13500,5.194760700,5.194761,947.252488
13000,13000,13000,4.703148570,4.703149,934.267743
12500,12500,12500,4.170722071,4.170722,936.588421
12000,12000,12000,3.698792045,3.698792,934.359098
11500,11500,11500,3.254740402,3.254740,934.559942
11000,11000,11000,2.864073802,2.864074,929.445323
10500,10500,10500,2.487452720,2.487453,930.771460
10000,10000,10000,2.173721417,2.173721,920.081103
9500,9500,9500,1.853600513,1.853601,925.091457
9000,9000,9000,1.574573783,1.574574,925.964865
8500,8500,8500,1.331092009,1.331092,922.738617
8000,8000,8000,1.093889304,1.093889,936.109345
7500,7500,7500,0.904419222,0.904419,932.919137
7000,7000,7000,0.743196803,0.743197,923.039493
6500,6500,6500,0.585930021,0.585930,937.398632
6000,6000,6000,0.466203618,0.466204,926.633735
5500,5500,5500,0.362144402,0.362144,918.832372
5000,5000,5000,0.278790256,0.278790,896.731484
4500,4500,4500,0.213311348,0.213311,854.384925
4000,4000,4000,0.144650558,0.144651,884.891160
3500,3500,3500,0.103911487,0.103911,825.221566
3000,3000,3000,0.109260647,0.109261,494.231011
2500,2500,2500,0.043330075,0.043330,721.208075
2000,2000,2000,0.026450325,0.026450,604.907501
30000,30000,30000,58.326426426,58.326426,925.823907
29500,29500,29500,55.797000226,55.797000,920.206280
29000,29000,29000,53.349187063,53.349187,914.315713
28500,28500,28500,50.129452293,50.129452,923.573825
28000,28000,28000,47.240819268,47.240819,929.365762
27500,27500,27500,44.761300510,44.761301,929.234618
27000,27000,27000,41.852138073,41.852138,940.597107
26500,26500,26500,40.473711425,40.473711,919.590734
26000,26000,26000,37.795267906,37.795268,930.063522
25500,25500,25500,35.515841865,35.515842,933.745288
25000,25000,25000,33.670358562,33.670359,928.116044
24500,24500,24500,31.362127501,31.362128,937.827002
24000,24000,24000,29.942832511,29.942833,923.359538
23500,23500,23500,27.966043173,27.966043,928.116639
23000,23000,23000,26.361777072,26.361777,923.078893
22500,22500,22500,24.552010390,24.552010,927.877173
22000,22000,22000,23.155596726,23.155597,919.691263
21500,21500,21500,21.805586695,21.805587,911.543921
21000,21000,21000,19.980772301,19.980772,926.991195
20500,20500,20500,18.578625733,18.578626,927.423279
20000,20000,20000,17.035130088,17.035130,939.235563
19500,19500,19500,15.938000882,15.938001,930.464875
19000,19000,19000,14.647203572,14.647204,936.561026
18500,18500,18500,13.561360917,13.561361,933.774278
18000,18000,18000,12.378575113,12.378575,942.273234
17500,17500,17500,11.583314610,11.583315,925.361208
17000,17000,17000,10.506598246,10.506598,935.221826
16500,16500,16500,9.485087722,9.485088,947.197355
16000,16000,16000,8.895590216,8.895590,920.905730
15500,15500,15500,7.991923368,7.991923,931.909586
15000,15000,15000,7.228826112,7.228826,933.761567
14500,14500,14500,6.555341137,6.555341,930.119405
14000,14000,14000,5.846682391,5.846682,938.651980
13500,13500,13500,5.212809857,5.212810,943.972663
13000,13000,13000,4.709798055,4.709798,932.948706
12500,12500,12500,4.169616413,4.169616,936.836777
12000,12000,12000,3.697228090,3.697228,934.754339
11500,11500,11500,3.249479126,3.249479,936.073100
11000,11000,11000,2.850876283,2.850876,933.747990
10500,10500,10500,2.506927224,2.506927,923.540970
10000,10000,10000,2.170159818,2.170160,921.591112
9500,9500,9500,1.825993023,1.825993,939.078068
9000,9000,9000,1.553799817,1.553800,938.344814
8500,8500,8500,1.331235473,1.331235,922.639176
8000,8000,8000,1.095155194,1.095155,935.027296
7500,7500,7500,0.934238545,0.934239,903.141927
7000,7000,7000,0.745108914,0.745109,920.670773
6500,6500,6500,0.647081971,0.647082,848.810544
6000,6000,6000,0.462683561,0.462684,933.683486
5500,5500,5500,0.363017995,0.363018,916.621227
5000,5000,5000,0.279107002,0.279107,895.713824
4500,4500,4500,0.200368917,0.200369,909.572217
4000,4000,4000,0.145757731,0.145758,878.169543
3500,3500,3500,0.104692052,0.104692,819.068863
3000,3000,3000,0.069313883,0.069314,779.064708
2500,2500,2500,0.043313743,0.043314,721.480016
2000,2000,2000,0.025644192,0.025644,623.922953
30000,30000,30000,58.373420675,58.373421,925.078561
29500,29500,29500,55.275442640,55.275443,928.888988
29000,29000,29000,52.521587369,52.521587,928.722882
28500,28500,28500,49.994568603,49.994569,926.065597
28000,28000,28000,47.147164092,47.147164,931.211895
27500,27500,27500,44.832672174,44.832672,927.755317
27000,27000,27000,42.023600483,42.023600,936.759334
26500,26500,26500,40.472298500,40.472299,919.622838
26000,26000,26000,37.509256906,37.509257,937.155329
25500,25500,25500,35.202966975,35.202967,942.044176
25000,25000,25000,33.866362118,33.866362,922.744518
24500,24500,24500,31.353802823,31.353803,938.076002
24000,24000,24000,29.525386052,29.525386,936.414513
23500,23500,23500,27.936074076,27.936074,929.112299
23000,23000,23000,26.057830235,26.057830,933.845980
22500,22500,22500,24.543724674,24.543725,928.190415
22000,22000,22000,23.122322087,23.122322,921.014763
21500,21500,21500,22.184581234,22.184581,895.971386
21000,21000,21000,20.018502956,20.018503,925.244013
20500,20500,20500,18.664451359,18.664451,923.158665
20000,20000,20000,17.009013120,17.009013,940.677739
19500,19500,19500,16.243479791,16.243480,912.966322
19000,19000,19000,14.796440837,14.796441,927.114848
18500,18500,18500,13.562874946,13.562875,933.670040
18000,18000,18000,12.352959233,12.352959,944.227191
17500,17500,17500,11.451664938,11.451665,935.999268
17000,17000,17000,10.489156660,10.489157,936.776932
16500,16500,16500,9.492743446,9.492743,946.433457
16000,16000,16000,8.895033486,8.895033,920.963368
15500,15500,15500,7.967234312,7.967234,934.797410
15000,15000,15000,7.209893769,7.209894,936.213517
14500,14500,14500,6.540883446,6.540883,932.175302
14000,14000,14000,5.870327397,5.870327,934.871197
13500,13500,13500,5.238708217,5.238708,939.305988
13000,13000,13000,4.703602105,4.703602,934.177658
12500,12500,12500,4.418456859,4.418457,884.075623
12000,12000,12000,3.714522084,3.714522,930.402330
11500,11500,11500,3.255585063,3.255585,934.317470
11000,11000,11000,2.863853050,2.863853,929.516967
10500,10500,10500,2.489067729,2.489068,930.167537
10000,10000,10000,2.165674834,2.165675,923.499673
9500,9500,9500,1.845390729,1.845391,929.207009
9000,9000,9000,1.568159214,1.568159,929.752532
8500,8500,8500,1.327944967,1.327945,924.925378
8000,8000,8000,1.094672723,1.094673,935.439404
7500,7500,7500,0.900441970,0.900442,937.039841
7000,7000,7000,0.746541862,0.746542,918.903594
6500,6500,6500,0.587471905,0.587472,934.938327
6000,6000,6000,0.462986551,0.462987,933.072460
5500,5500,5500,0.362077337,0.362077,919.002561
5000,5000,5000,0.279115522,0.279116,895.686482
4500,4500,4500,0.200085124,0.200085,910.862319
4000,4000,4000,0.145380629,0.145381,880.447422
3500,3500,3500,0.109835382,0.109835,780.713814
3000,3000,3000,0.069492868,0.069493,777.058158
2500,2500,2500,0.042679596,0.042680,732.199996
2000,2000,2000,0.066985535,0.066986,238.857538
30000,30000,30000,58.228739049,58.228739,927.377114
29500,29500,29500,55.608307616,55.608308,923.328765
29000,29000,29000,52.625107554,52.625108,926.895968
28500,28500,28500,50.049814320,50.049814,925.043392
28000,28000,28000,47.255448233,47.255448,929.078056
27500,27500,27500,44.508788014,44.508788,934.506462
27000,27000,27000,41.688793486,41.688793,944.282545
26500,26500,26500,40.436140983,40.436141,920.445154
26000,26000,26000,37.814764930,37.814765,929.583988
25500,25500,25500,35.460986543,35.460987,935.189718
25000,25000,25000,33.533982790,33.533983,931.890500
24500,24500,24500,31.229582618,31.229583,941.807336
24000,24000,24000,29.552270311,29.552270,935.562639
23500,23500,23500,27.934182322,27.934182,929.175220
23000,23000,23000,26.110262748,26.110263,931.970706
22500,22500,22500,24.409954301,24.409954,933.277044
22000,22000,22000,23.095577084,23.095577,922.081311
21500,21500,21500,21.781997223,21.781997,912.531105
21000,21000,21000,19.965207787,19.965208,927.713861
20500,20500,20500,18.782996028,18.782996,917.332356
20000,20000,20000,17.249626218,17.249626,927.556331
19500,19500,19500,15.931678863,15.931679,930.834103
19000,19000,19000,14.823594141,14.823594,925.416594
18500,18500,18500,13.582605566,13.582606,932.313755
18000,18000,18000,12.362380871,12.362381,943.507575
17500,17500,17500,11.409978503,11.409979,939.418948
17000,17000,17000,10.458704393,10.458704,939.504515
16500,16500,16500,9.582179585,9.582180,937.599835
16000,16000,16000,8.735074685,8.735075,937.828272
15500,15500,15500,7.963469283,7.963469,935.239371
15000,15000,15000,7.209699449,7.209699,936.238750
14500,14500,14500,6.703826161,6.703826,909.517916
14000,14000,14000,5.840203177,5.840203,939.693335
13500,13500,13500,5.225134029,5.225134,941.746178
13000,13000,13000,4.950980570,4.950981,887.500958
12500,12500,12500,4.183515345,4.183515,933.724315
12000,12000,12000,3.691016214,3.691016,936.327504
11500,11500,11500,3.252066121,3.252066,935.328461
11000,11000,11000,2.846880425,2.846880,935.058591
10500,10500,10500,2.490579917,2.490580,929.602774
10000,10000,10000,2.165710913,2.165711,923.484288
9500,9500,9500,1.820050730,1.820051,942.144069
