m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,34.432015796,34.432016,1568.307831
29500,29500,29500,33.176680814,33.176681,1547.615637
29000,29000,29000,30.993152123,30.993152,1573.831529
28500,28500,28500,29.673633188,29.673633,1560.248781
28000,28000,28000,27.896115585,27.896116,1573.839192
27500,27500,27500,26.017891915,26.017892,1598.659497
27000,27000,27000,24.617175001,24.617175,1599.127438
26500,26500,26500,23.846147285,23.846147,1560.807688
26000,26000,26000,22.047207273,22.047207,1594.396949
25500,25500,25500,21.216248193,21.216248,1563.082676
25000,25000,25000,19.918105304,19.918105,1568.924329
24500,24500,24500,18.561455666,18.561456,1584.587466
24000,24000,24000,17.271831129,17.271831,1600.756735
23500,23500,23500,16.505977559,16.505978,1572.506076
23000,23000,23000,15.284771674,15.284772,1592.042100
22500,22500,22500,14.391769725,14.391770,1582.935972
22000,22000,22000,13.545468661,13.545469,1572.186281
21500,21500,21500,12.832537267,12.832537,1548.933744
21000,21000,21000,11.638556529,11.638557,1591.434466
20500,20500,20500,10.934286829,10.934287,1575.800075
20000,20000,20000,10.400901402,10.400901,1538.328207
19500,19500,19500,9.562987738,9.562988,1550.744433
19000,19000,19000,8.795232402,8.795232,1559.708644
18500,18500,18500,8.141136534,8.141137,1555.464639
18000,18000,18000,7.399371147,7.399371,1576.350175
17500,17500,17500,6.910549918,6.910550,1551.070483
17000,17000,17000,6.370285208,6.370285,1542.474109
16500,16500,16500,5.660343409,5.660343,1587.227020
16000,16000,16000,5.207238497,5.207238,1573.194699
15500,15500,15500,4.695148672,4.695149,1586.264998
15000,15000,15000,4.253672814,4.253673,1586.863940
14500,14500,14500,3.860488274,3.860488,1579.398658
14000,14000,14000,3.460247716,3.460248,1586.013618
13500,13500,13500,3.242463256,3.242463,1517.596226
13000,13000,13000,2.834106397,2.834106,1550.400509
12500,12500,12500,2.518261274,2.518261,1551.169468
12000,12000,12000,2.202508837,2.202509,1569.119697
11500,11500,11500,1.923845428,1.923845,1581.078165
11000,11000,11000,1.681849892,1.681850,1582.780968
10500,10500,10500,1.475933578,1.475934,1568.668153
10000,10000,10000,1.286116088,1.286116,1555.069576
9500,9500,9500,1.090459096,1.090459,1572.502817
9000,9000,9000,0.907027933,0.907028,1607.447739
8500,8500,8500,0.775935982,0.775936,1582.926979
8000,8000,8000,0.640385414,0.640385,1599.037045
7500,7500,7500,0.533901784,0.533902,1580.346845
7000,7000,7000,0.443937376,0.443937,1545.262997
6500,6500,6500,0.350447808,0.350448,1567.280455
6000,6000,6000,0.276286146,0.276286,1563.596316
