m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,52.269855078,52.269855,1033.100243
29500,29500,29500,54.362027127,54.362027,944.496604
29000,29000,29000,46.465706759,46.465707,1049.763436
28500,28500,28500,52.345672132,52.345672,884.471402
28000,28000,28000,47.218280076,47.218280,929.809386
27500,27500,27500,36.069401407,36.069401,1153.158865
27000,27000,27000,37.459666176,37.459666,1050.890305
26500,26500,26500,40.923478196,40.923478,909.484033
26000,26000,26000,40.278633242,40.278633,872.720775
25500,25500,25500,28.565291022,28.565291,1160.945638
25000,25000,25000,24.181738903,24.181739,1292.297470
24500,24500,24500,26.099099190,26.099099,1126.945025
24000,24000,24000,21.840788398,21.840788,1265.888369
23500,23500,23500,19.976675475,19.976675,1299.302781
23000,23000,23000,19.878080591,19.878081,1224.162458
22500,22500,22500,20.640990071,20.640990,1103.689790
22000,22000,22000,20.462411322,20.462411,1040.737558
21500,21500,21500,18.070037684,18.070038,1099.983871
21000,21000,21000,20.876023987,20.876024,887.237915
20500,20500,20500,17.776438362,17.776438,969.274590
20000,20000,20000,18.774452511,18.774453,852.221922
19500,19500,19500,17.527019256,17.527019,846.107931
19000,19000,19000,14.446957050,14.446957,949.542520
18500,18500,18500,14.995078706,14.995079,844.493733
18000,18000,18000,12.841768890,12.841769,908.286086
17500,17500,17500,9.370229647,9.370230,1143.915401
17000,17000,17000,10.322707222,10.322707,951.882078
16500,16500,16500,9.798356070,9.798356,916.914015
16000,16000,16000,7.864419889,7.864420,1041.653436
15500,15500,15500,8.697307721,8.697308,856.328215
15000,15000,15000,8.764952849,8.764953,770.112528
14500,14500,14500,7.803330341,7.803330,781.365101
14000,14000,14000,6.674946645,6.674947,822.178857
13500,13500,13500,5.587849410,5.587849,880.616072
13000,13000,13000,4.665775216,4.665775,941.751327
12500,12500,12500,4.265460802,4.265461,915.786167
12000,12000,12000,3.769717185,3.769717,916.779650
11500,11500,11500,3.416828554,3.416829,890.226112
11000,11000,11000,2.979753059,2.979753,893.362620
10500,10500,10500,2.620407313,2.620407,883.545847
10000,10000,10000,2.420108884,2.420109,826.409098
9500,9500,9500,2.179108277,2.179108,786.904450
9000,9000,9000,1.758508131,1.758508,829.111890
8500,8500,8500,1.658381740,1.658382,740.631647
8000,8000,8000,1.329838048,1.329838,770.018576
7500,7500,7500,1.116101233,1.116101,755.979812
7000,7000,7000,0.977033824,0.977034,702.125129
6500,6500,6500,0.776103490,0.776103,707.702010
6000,6000,6000,0.635687856,0.635688,679.578815
5500,5500,5500,0.488234283,0.488234,681.537556
5000,5000,5000,0.360226468,0.360226,694.007860
4500,4500,4500,0.261624677,0.261625,696.608600
4000,4000,4000,0.162459653,0.162460,787.887932
3500,3500,3500,0.111229270,0.111229,770.930170
3000,3000,3000,0.071718370,0.071718,752.945166
2500,2500,2500,0.052260632,0.052261,597.964449
2000,2000,2000,0.035715364,0.035715,447.986474
