m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,53.220236171,53.220236,1014.651642
29500,29500,29500,53.922762315,53.922762,952.190648
29000,29000,29000,55.004160803,55.004161,886.805640
28500,28500,28500,52.242804790,52.242805,886.212947
28000,28000,28000,49.751463634,49.751464,882.466500
27500,27500,27500,48.066276026,48.066276,865.341637
27000,27000,27000,28.969195708,28.969196,1358.891714
26500,26500,26500,35.391321164,35.391321,1051.649070
26000,26000,26000,26.708728213,26.708728,1316.124067
25500,25500,25500,39.122968012,39.122968,847.654247
25000,25000,25000,24.046398052,24.046398,1299.570935
24500,24500,24500,22.529965048,22.529965,1305.472509
24000,24000,24000,19.331339825,19.331340,1430.216439
23500,23500,23500,18.497251357,18.497251,1403.221998
23000,23000,23000,17.000282201,17.000282,1431.388004
22500,22500,22500,16.618840549,16.618841,1370.808627
22000,22000,22000,18.270819908,18.270820,1165.574403
21500,21500,21500,23.238443391,23.238443,855.339132
21000,21000,21000,21.051570843,21.051571,879.839331
20500,20500,20500,17.417918846,17.417919,989.225530
20000,20000,20000,20.925685374,20.925685,764.610559
19500,19500,19500,18.742412012,18.742412,791.240209
19000,19000,19000,17.680868605,17.680869,775.866860
18500,18500,18500,16.502282737,16.502283,767.363534
18000,18000,18000,13.464769551,13.464770,866.260648
17500,17500,17500,13.019204240,13.019204,823.303007
17000,17000,17000,12.301094587,12.301095,798.790704
16500,16500,16500,8.152039991,8.152040,1102.086105
16000,16000,16000,7.726346717,7.726347,1060.268235
15500,15500,15500,6.853384911,6.853385,1086.725771
15000,15000,15000,9.608069597,9.608070,702.534461
14500,14500,14500,8.558513476,8.558513,712.419279
14000,14000,14000,6.833797472,6.833797,803.067405
13500,13500,13500,7.279606253,7.279606,675.963758
13000,13000,13000,5.274666317,5.274666,833.038478
12500,12500,12500,4.826900286,4.826900,809.266769
12000,12000,12000,4.452450618,4.452451,776.201759
11500,11500,11500,3.930795979,3.930796,773.825458
11000,11000,11000,3.761728729,3.761729,707.653367
10500,10500,10500,3.459414839,3.459415,669.260585
10000,10000,10000,3.311261014,3.311261,603.999501
9500,9500,9500,2.915806561,2.915807,588.087709
9000,9000,9000,2.498978151,2.498978,583.438474
8500,8500,8500,2.411587148,2.411587,509.311887
8000,8000,8000,1.955301558,1.955302,523.704385
7500,7500,7500,1.672188291,1.672188,504.578345
7000,7000,7000,1.416619382,1.416619,484.251457
6500,6500,6500,1.168976396,1.168976,469.855509
6000,6000,6000,0.891869051,0.891869,484.376041
5500,5500,5500,0.683794343,0.683794,486.622920
5000,5000,5000,0.512771815,0.512772,487.546298
4500,4500,4500,0.385370927,0.385371,472.920989
4000,4000,4000,0.278987610,0.278988,458.801737
3500,3500,3500,0.200769283,0.200769,427.107169
3000,3000,3000,0.147685505,0.147686,365.641841
2500,2500,2500,0.103209125,0.103209,302.783305
2000,2000,2000,0.047591901,0.047592,336.191656
