m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,52.456764670,52.456765,1029.419186
29500,29500,29500,49.104787862,49.104788,1045.615962
29000,29000,29000,50.188962018,50.188962,971.887005
28500,28500,28500,51.368631089,51.368631,901.294214
28000,28000,28000,45.733676764,45.733677,959.992791
27500,27500,27500,47.915144746,47.915145,868.071050
27000,27000,27000,45.649789206,45.649789,862.347903
26500,26500,26500,34.952266805,34.952267,1064.859404
26000,26000,26000,33.973122653,33.973123,1034.700294
25500,25500,25500,24.459338591,24.459339,1355.831838
25000,25000,25000,22.539241367,22.539241,1386.470800
24500,24500,24500,19.067707938,19.067708,1542.516284
24000,24000,24000,18.785184597,18.785185,1471.798153
23500,23500,23500,21.402834427,21.402834,1212.724889
23000,23000,23000,16.168765114,16.168765,1505.000526
22500,22500,22500,21.535153470,21.535153,1057.863369
22000,22000,22000,19.719886555,19.719887,1079.925077
21500,21500,21500,16.911854073,16.911854,1175.314659
21000,21000,21000,18.832105548,18.832106,983.533145
20500,20500,20500,16.354114646,16.354115,1053.572778
20000,20000,20000,15.633033327,15.633033,1023.473798
19500,19500,19500,18.302925701,18.302926,810.239316
19000,19000,19000,16.967646815,16.967647,808.479817
18500,18500,18500,16.597820213,16.597820,762.946570
18000,18000,18000,15.260599400,15.260599,764.321223
17500,17500,17500,14.171178464,14.171178,756.376756
17000,17000,17000,12.318044583,12.318045,797.691544
16500,16500,16500,11.909667928,11.909668,754.366121
16000,16000,16000,11.350959189,11.350959,721.701124
15500,15500,15500,7.488921088,7.488921,994.502401
15000,15000,15000,7.114021510,7.114022,948.830418
14500,14500,14500,6.447058475,6.447058,945.741383
14000,14000,14000,6.103712364,6.103712,899.124938
13500,13500,13500,5.750267609,5.750268,855.742782
13000,13000,13000,5.318622791,5.318623,826.153719
12500,12500,12500,4.944246520,4.944247,790.059716
12000,12000,12000,4.490888323,4.490888,769.558215
11500,11500,11500,3.944336793,3.944337,771.168934
11000,11000,11000,3.852451033,3.852451,690.988666
10500,10500,10500,2.690128855,2.690129,860.646506
10000,10000,10000,2.662684535,2.662685,751.121649
9500,9500,9500,2.886468796,2.886469,594.064970
9000,9000,9000,2.471644238,2.471644,589.890720
8500,8500,8500,2.259133129,2.259133,543.681992
8000,8000,8000,1.911038372,1.911038,535.834348
7500,7500,7500,1.641498967,1.641499,514.011898
7000,7000,7000,1.376155169,1.376155,498.490298
6500,6500,6500,1.138139760,1.138140,482.585724
6000,6000,6000,0.885135539,0.885136,488.060846
5500,5500,5500,0.703441662,0.703442,473.031408
5000,5000,5000,0.518293989,0.518294,482.351726
4500,4500,4500,0.387460137,0.387460,470.370969
4000,4000,4000,0.269755476,0.269755,474.503806
3500,3500,3500,0.207114324,0.207114,414.022547
3000,3000,3000,0.136927773,0.136928,394.368497
2500,2500,2500,0.098527002,0.098527,317.171936
2000,2000,2000,0.042819058,0.042819,373.665390
30000,30000,30000,45.816924362,45.816924,1178.603775
29500,29500,29500,49.660656674,49.660657,1033.912023
29000,29000,29000,51.481320637,51.481321,947.489291
28500,28500,28500,48.952086178,48.952086,945.787067
28000,28000,28000,47.613223814,47.613224,922.096772
