m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,56.598913273,56.598913,954.081923
29500,29500,29500,39.466112632,39.466113,1300.983213
29000,29000,29000,35.997867495,35.997867,1355.024711
28500,28500,28500,34.021908318,34.021908,1360.836364
28000,28000,28000,32.916675787,32.916676,1333.792036
27500,27500,27500,32.433316833,32.433317,1282.438987
27000,27000,27000,28.607038323,28.607038,1376.094916
26500,26500,26500,24.890943251,24.890943,1495.292871
26000,26000,26000,28.960798559,28.960799,1213.778685
25500,25500,25500,30.627815563,30.627816,1082.765760
25000,25000,25000,28.516331981,28.516332,1095.863241
24500,24500,24500,29.460683877,29.460684,998.355983
24000,24000,24000,25.894126385,25.894126,1067.732488
23500,23500,23500,24.935597781,24.935598,1040.911480
23000,23000,23000,26.699476122,26.699476,911.403650
22500,22500,22500,25.175377230,25.175377,904.902032
22000,22000,22000,19.035313076,19.035313,1118.762792
21500,21500,21500,17.714917573,17.714918,1122.034574
21000,21000,21000,17.209119277,17.209119,1076.289826
20500,20500,20500,14.444588779,14.444589,1192.851542
20000,20000,20000,12.877936269,12.877936,1242.435097
30000,30000,30000,56.655081153,56.655081,953.136045
29500,29500,29500,36.645269320,36.645269,1401.129012
29000,29000,29000,34.913243540,34.913244,1397.120263
28500,28500,28500,29.153555534,29.153556,1588.082453
28000,28000,28000,38.066272133,38.066272,1153.356962
27500,27500,27500,32.769118040,32.769118,1269.297207
27000,27000,27000,28.992814418,28.992814,1357.784706
26500,26500,26500,30.790926498,30.790926,1208.773305
26000,26000,26000,29.308608111,29.308608,1199.374596
25500,25500,25500,31.152132268,31.152132,1064.541898
25000,25000,25000,27.026626753,27.026627,1156.267124
24500,24500,24500,27.049794872,27.049795,1087.337266
24000,24000,24000,27.837106616,27.837107,993.206671
23500,23500,23500,27.817505458,27.817505,933.072523
23000,23000,23000,27.632351675,27.632352,880.634420
22500,22500,22500,24.868529213,24.868529,916.067444
22000,22000,22000,19.309287612,19.309288,1102.888953
21500,21500,21500,17.359689491,17.359689,1144.994558
21000,21000,21000,15.389973486,15.389973,1203.510845
20500,20500,20500,14.408939430,14.408939,1195.802792
20000,20000,20000,13.497323320,13.497323,1185.420222
30000,30000,30000,56.701991022,56.701991,952.347511
29500,29500,29500,40.842737334,40.842737,1257.132929
29000,29000,29000,37.419452858,37.419453,1303.546585
28500,28500,28500,31.465367749,31.465368,1471.403429
28000,28000,28000,36.333480846,36.333481,1208.362067
27500,27500,27500,31.735664181,31.735664,1310.631149
27000,27000,27000,28.328301359,28.328301,1389.635033
26500,26500,26500,31.621178965,31.621179,1177.035494
26000,26000,26000,28.638377721,28.638378,1227.443829
25500,25500,25500,29.355568847,29.355569,1129.691956
25000,25000,25000,28.664518415,28.664518,1090.197977
24500,24500,24500,30.200649075,30.200649,973.894631
24000,24000,24000,22.714272027,22.714272,1217.208281
23500,23500,23500,27.973480823,27.973481,927.869869
23000,23000,23000,27.087729682,27.087730,898.340329
22500,22500,22500,25.870480904,25.870481,880.588578
22000,22000,22000,19.022337866,19.022338,1119.525904
21500,21500,21500,15.494449965,15.494450,1282.830307
21000,21000,21000,17.016497039,17.016497,1088.473142
20500,20500,20500,13.124407685,13.124408,1312.840199
20000,20000,20000,13.506563827,13.506564,1184.609217
30000,30000,30000,56.169193977,56.169194,961.381073
29500,29500,29500,43.516652008,43.516652,1179.887414
29000,29000,29000,35.985068121,35.985068,1355.506674
28500,28500,28500,39.548700986,39.548701,1170.664240
28000,28000,28000,32.793248830,32.793249,1338.812151
27500,27500,27500,30.773908500,30.773909,1351.591398
27000,27000,27000,29.296136641,29.296137,1343.726665
26500,26500,26500,28.635054367,28.635054,1299.779268
26000,26000,26000,29.288774782,29.288775,1200.186770
25500,25500,25500,30.589074739,30.589075,1084.137075
25000,25000,25000,28.648391404,28.648391,1090.811682
24500,24500,24500,29.115426329,29.115426,1010.194722
24000,24000,24000,27.079984203,27.079984,1020.975485
23500,23500,23500,26.644762859,26.644763,974.140777
23000,23000,23000,27.548436401,27.548436,883.316920
22500,22500,22500,26.090072382,26.090072,873.176957
22000,22000,22000,19.204027487,19.204027,1108.934051
21500,21500,21500,15.833162809,15.833163,1255.387205
21000,21000,21000,16.577911483,16.577911,1117.269809
20500,20500,20500,13.157761138,13.157761,1309.512296
20000,20000,20000,16.003783953,16.003784,999.763559
