m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,36.177278297,36.177278,1492.649601
29500,29500,29500,37.235117631,37.235118,1378.933471
29000,29000,29000,33.280433044,33.280433,1465.666025
28500,28500,28500,33.650690644,33.650691,1375.848433
28000,28000,28000,30.006457435,30.006457,1463.151726
27500,27500,27500,28.865675201,28.865675,1440.941523
27000,27000,27000,32.081634256,32.081634,1227.057191
26500,26500,26500,25.826530592,25.826531,1441.124655
26000,26000,26000,24.420143003,24.420143,1439.467410
25500,25500,25500,23.405794620,23.405795,1416.860677
25000,25000,25000,22.240079080,22.240079,1405.120903
24500,24500,24500,21.106987135,21.106987,1393.484054
24000,24000,24000,19.015361018,19.015361,1453.982387
23500,23500,23500,18.860947114,18.860947,1376.163659
23000,23000,23000,17.964770916,17.964771,1354.539956
22500,22500,22500,15.409258348,15.409258,1478.413139
22000,22000,22000,16.531983551,16.531984,1288.169682
21500,21500,21500,16.154626300,16.154626,1230.406054
21000,21000,21000,12.671983088,12.671983,1461.649678
20500,20500,20500,12.191183855,12.191184,1413.336900
20000,20000,20000,11.162991331,11.162991,1433.307572
19500,19500,19500,10.338577507,10.338578,1434.409133
19000,19000,19000,9.582537089,9.582537,1431.562422
18500,18500,18500,9.082135785,9.082136,1394.303091
18000,18000,18000,7.899186467,7.899186,1476.607756
17500,17500,17500,7.309446990,7.309447,1466.424206
17000,17000,17000,6.696608612,6.696609,1467.309883
16500,16500,16500,5.869028766,5.869029,1530.789907
16000,16000,16000,5.397334735,5.397335,1517.786167
15500,15500,15500,5.056837960,5.056838,1472.807723
15000,15000,15000,4.708399131,4.708399,1433.608284
14500,14500,14500,4.336039201,4.336039,1406.179630
14000,14000,14000,3.993321172,3.993321,1374.294669
13500,13500,13500,3.237989689,3.237990,1519.692918
13000,13000,13000,3.019449071,3.019449,1455.232361
12500,12500,12500,2.661774063,2.661774,1467.536278
12000,12000,12000,2.499424228,2.499424,1382.718452
11500,11500,11500,2.215475925,2.215476,1372.955565
11000,11000,11000,1.823886308,1.823886,1459.520798
10500,10500,10500,1.629301746,1.629302,1421.007499
10000,10000,10000,1.423194669,1.423195,1405.289131
9500,9500,9500,1.218697741,1.218698,1407.034691
9000,9000,9000,0.983699207,0.983699,1482.160390
8500,8500,8500,0.841029065,0.841029,1460.413262
8000,8000,8000,0.691036589,0.691037,1481.831811
7500,7500,7500,0.587095595,0.587096,1437.159480
7000,7000,7000,0.488091716,0.488092,1405.473557
6500,6500,6500,0.394821617,0.394822,1391.134569
6000,6000,6000,0.320637516,0.320638,1347.315827
5500,5500,5500,0.256962988,0.256963,1294.933572
5000,5000,5000,0.204423468,0.204423,1222.951564
4500,4500,4500,0.135004468,0.135004,1349.955321
4000,4000,4000,0.099033312,0.099033,1292.494388
3500,3500,3500,0.072117423,0.072117,1189.033058
3000,3000,3000,0.048210240,0.048210,1120.093988
2500,2500,2500,0.032826821,0.032827,951.965468
2000,2000,2000,0.019488346,0.019488,821.003486
