m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,37.073991842,37.073992,1456.546687
29500,29500,29500,35.169509144,35.169509,1459.922281
29000,29000,29000,34.061587917,34.061588,1432.053025
28500,28500,28500,32.530539626,32.530540,1423.224162
28000,28000,28000,30.602647949,30.602648,1434.647096
27500,27500,27500,28.023536589,28.023537,1484.243428
27000,27000,27000,27.439076414,27.439076,1434.669280
26500,26500,26500,25.342902739,25.342903,1468.626163
26000,26000,26000,24.028363567,24.028364,1462.937744
25500,25500,25500,23.096837653,23.096838,1435.813443
25000,25000,25000,21.889520581,21.889521,1427.623775
24500,24500,24500,22.473814072,22.473814,1308.734241
24000,24000,24000,19.568948112,19.568948,1412.850596
23500,23500,23500,18.597070095,18.597070,1395.690282
23000,23000,23000,16.522550858,16.522551,1472.775010
22500,22500,22500,15.332000151,15.332000,1485.862886
22000,22000,22000,14.305888917,14.305889,1488.617738
21500,21500,21500,13.565179536,13.565180,1465.277326
21000,21000,21000,12.873065934,12.873066,1438.818079
20500,20500,20500,11.731698128,11.731698,1468.691899
20000,20000,20000,10.705934482,10.705934,1494.498217
19500,19500,19500,10.301924343,10.301924,1439.512610
19000,19000,19000,9.566938783,9.566939,1433.896496
18500,18500,18500,8.700142870,8.700143,1455.522075
18000,18000,18000,8.058083038,8.058083,1447.490668
17500,17500,17500,7.179931691,7.179932,1492.876320
17000,17000,17000,6.679305555,6.679306,1471.111019
16500,16500,16500,6.078814408,6.078814,1477.960898
16000,16000,16000,5.620211262,5.620211,1457.596453
15500,15500,15500,5.043977883,5.043978,1476.562779
15000,15000,15000,4.637160832,4.637161,1455.632066
14500,14500,14500,4.252045111,4.252045,1433.957035
14000,14000,14000,3.806491195,3.806491,1441.747720
13500,13500,13500,3.394412846,3.394413,1449.661613
13000,13000,13000,2.984357407,2.984357,1472.343758
12500,12500,12500,2.667826239,2.667826,1464.207055
12000,12000,12000,2.410544166,2.410544,1433.701174
11500,11500,11500,2.091947102,2.091947,1454.028162
11000,11000,11000,1.808666425,1.808666,1471.802629
10500,10500,10500,1.596199695,1.596200,1450.476408
10000,10000,10000,1.443815524,1.443816,1385.218518
9500,9500,9500,1.193444227,1.193444,1436.807822
9000,9000,9000,0.981102743,0.981103,1486.082890
8500,8500,8500,0.848333903,0.848334,1447.837928
8000,8000,8000,0.763814347,0.763814,1340.639913
7500,7500,7500,0.585146616,0.585147,1441.946304
7000,7000,7000,0.488489625,0.488490,1404.328700
6500,6500,6500,0.393497248,0.393497,1395.816623
6000,6000,6000,0.322576617,0.322577,1339.216723
5500,5500,5500,0.258736723,0.258737,1286.056328
5000,5000,5000,0.204560677,0.204561,1222.131270
4500,4500,4500,0.133752098,0.133752,1362.595449
4000,4000,4000,0.099539202,0.099539,1285.925519
3500,3500,3500,0.071926063,0.071926,1192.196492
3000,3000,3000,0.048752966,0.048753,1107.624919
2500,2500,2500,0.032137060,0.032137,972.397600
2000,2000,2000,0.019826031,0.019826,807.019822
