action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,10000,100,100000,32,1,6.820393,0.215980,3.462737,0.111701
e1,10000,100,100000,31,1,6.973302,0.142955,1.243288,0.041443
e1,10000,100,100000,30,1,7.161634,0.126455,1.122542,0.038708
e1,10000,100,100000,29,1,7.371037,0.194839,2.582863,0.092245
e1,10000,100,100000,28,1,7.669189,0.134304,1.089013,0.040334
e1,10000,100,100000,27,1,7.690867,0.124324,0.873141,0.033582
e1,10000,100,100000,26,1,8.196138,0.126264,0.905111,0.036204
e1,10000,100,100000,25,1,8.243974,0.139691,0.939641,0.039152
e1,10000,100,100000,24,1,8.574454,0.134634,0.926703,0.040291
e1,10000,100,100000,23,1,8.869978,0.145019,1.160490,0.052750
e1,10000,100,100000,22,1,9.198145,0.141477,0.895365,0.042636
e1,10000,100,100000,21,1,9.717983,0.135110,0.791947,0.039597
e1,10000,100,100000,20,1,10.146077,0.119808,0.626892,0.032994
e1,10000,100,100000,19,1,10.605430,0.122462,0.652854,0.036270
e1,10000,100,100000,18,1,11.158731,0.138266,0.714625,0.042037
e1,10000,100,100000,17,1,11.680401,0.140554,0.771647,0.048228
e1,10000,100,100000,16,1,12.288410,0.132346,0.673359,0.044891
e1,10000,100,100000,15,1,12.836272,0.117593,0.442057,0.031576
e1,10000,100,100000,14,1,13.684536,0.141391,0.542657,0.041743
e1,10000,100,100000,13,1,14.648394,0.137195,0.488116,0.040676
e1,10000,100,100000,12,1,15.758185,0.131698,0.342704,0.031155
e1,10000,100,100000,11,1,17.119157,0.120922,0.340441,0.034044
e1,10000,100,100000,10,1,18.852330,0.189428,0.265418,0.029491
e1,10000,100,100000,9,1,20.780494,0.125641,0.250173,0.031272
e1,10000,100,100000,8,1,23.309495,0.125312,0.237769,0.033967
e1,10000,100,100000,7,1,26.558039,0.124683,0.207690,0.034615
e1,10000,100,100000,6,1,30.861124,0.124217,0.184966,0.036993
e1,10000,100,100000,5,1,37.231091,0.373696,0.531336,0.132834
e1,10000,100,100000,4,1,46.207410,0.263953,0.227598,0.075866
e1,10000,100,100000,3,1,61.282065,0.185678,0.177994,0.088997
e1,10000,100,100000,2,1,92.567949,0.266769,0.169353,0.169353
e1,10000,100,100000,1,1,186.483549,0.249980,0.000000,0.000000
e1,10000,100,100000,32,1,6.942716,0.240755,4.258191,0.137361
e1,10000,100,100000,31,1,6.948410,0.134567,1.091355,0.036379
e1,10000,100,100000,30,1,7.198699,0.145523,1.231391,0.042462
e1,10000,100,100000,29,1,7.307004,0.160687,0.952740,0.034026
e1,10000,100,100000,28,1,7.505113,0.153005,1.430795,0.052992
e1,10000,100,100000,27,1,7.744925,0.144760,1.339012,0.051500
e1,10000,100,100000,26,1,7.928446,0.137719,1.051373,0.042055
