action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,30000,100,100000,256,1,45.686447,37.499822,503.447911,1.974306
e1,30000,100,100000,255,1,44.523005,36.507479,213.039754,0.838739
e1,30000,100,100000,254,1,49.486197,41.320560,227.623201,0.899696
e1,30000,100,100000,253,1,33.332526,25.129566,237.746920,0.943440
e1,30000,100,100000,252,1,45.874159,35.754802,310.382485,1.236584
e1,30000,100,100000,251,1,42.891387,34.267646,315.570211,1.262281
e1,30000,100,100000,250,1,41.010586,32.743015,274.150947,1.101008
e1,30000,100,100000,249,1,39.359294,31.175603,284.073676,1.145458
e1,30000,100,100000,248,1,35.521397,27.214771,288.216844,1.166870
e1,30000,100,100000,247,1,41.985746,33.571644,552.104679,2.244328
e1,30000,100,100000,246,1,46.366972,38.230460,287.098881,1.171832
e1,30000,100,100000,245,1,52.193157,43.467074,199.413852,0.817270
e1,30000,100,100000,244,1,51.040261,42.398817,232.789186,0.957980
e1,30000,100,100000,243,1,47.494062,39.060496,209.841579,0.867114
e1,30000,100,100000,242,1,53.159283,44.824150,209.547946,0.869494
e1,30000,100,100000,241,1,47.533587,39.038223,179.632349,0.748468
e1,30000,100,100000,240,1,45.438505,37.171078,211.145001,0.883452
e1,30000,100,100000,239,1,49.018195,40.599802,197.094488,0.828128
e1,30000,100,100000,238,1,55.409819,46.850573,196.441451,0.828867
e1,30000,100,100000,237,1,50.538223,41.946712,197.520592,0.836952
e1,30000,100,100000,236,1,51.231325,42.627825,236.162841,1.004948
e1,30000,100,100000,235,1,51.623675,42.958402,210.711977,0.900479
e1,30000,100,100000,234,1,51.609460,41.911287,189.077997,0.811494
e1,30000,100,100000,233,1,48.707813,40.029862,209.991656,0.905136
e1,30000,100,100000,232,1,48.125409,39.282660,188.856143,0.817559
e1,30000,100,100000,231,1,42.379451,33.678094,191.375103,0.832066
e1,30000,100,100000,230,1,48.085799,37.639166,186.133204,0.812809
e1,30000,100,100000,229,1,44.357566,35.651735,188.662198,0.827466
e1,30000,100,100000,228,1,45.912021,35.587935,188.997653,0.832589
e1,30000,100,100000,227,1,45.051527,34.950922,182.778930,0.808756
e1,30000,100,100000,226,1,48.102539,38.477009,176.679461,0.785242
e1,30000,100,100000,225,1,42.840541,33.884475,199.734609,0.891672
e1,30000,100,100000,224,1,42.725693,33.674264,201.297715,0.902680
