action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,10000,100,100000,12,1,28.728828,0.389722,2.410221,0.219111
e1,10000,100,100000,11,1,31.111304,0.169524,0.458923,0.045892
e1,10000,100,100000,10,1,34.228538,0.431957,2.402617,0.266957
e1,10000,100,100000,9,1,37.808268,0.394370,1.821913,0.227739
e1,10000,100,100000,8,1,42.314612,0.394723,1.582613,0.226088
e1,10000,100,100000,7,1,48.180221,0.399263,1.362628,0.227105
e1,10000,100,100000,6,1,55.990798,0.402084,1.156832,0.231366
e1,10000,100,100000,5,1,67.419809,0.423258,0.996872,0.249218
e1,10000,100,100000,4,1,83.922883,0.471811,0.863122,0.287707
e1,10000,100,100000,3,1,111.216052,0.452615,0.556252,0.278126
e1,10000,100,100000,2,1,166.129311,0.458609,0.278589,0.278589
e1,10000,100,100000,1,1,333.198547,0.396585,0.000000,0.000000
e1,10000,100,100000,12,1,28.767319,0.405384,2.594267,0.235842
e1,10000,100,100000,11,1,31.036505,0.159871,0.384128,0.038413
e1,10000,100,100000,10,1,34.037926,0.157656,0.314024,0.034892
e1,10000,100,100000,9,1,37.816356,0.359994,1.539978,0.192497
e1,10000,100,100000,8,1,42.379864,0.421071,1.684524,0.240646
e1,10000,100,100000,7,1,48.211206,0.379669,1.245912,0.207652
e1,10000,100,100000,6,1,55.971321,0.374407,1.043911,0.208782
e1,10000,100,100000,5,1,67.422457,0.406428,0.970720,0.242680
e1,10000,100,100000,4,1,83.881264,0.419374,0.700575,0.233525
e1,10000,100,100000,3,1,111.404545,0.422293,0.488404,0.244202
e1,10000,100,100000,2,1,166.123383,0.442501,0.267255,0.267255
e1,10000,100,100000,1,1,333.182650,0.385540,0.000000,0.000000
e1,10000,100,100000,12,1,28.725582,0.356094,2.141221,0.194656
e1,10000,100,100000,11,1,31.063812,0.160377,0.398440,0.039844
e1,10000,100,100000,10,1,33.964513,0.152526,0.276223,0.030691
e1,10000,100,100000,9,1,37.846460,0.421881,1.988083,0.248510
e1,10000,100,100000,8,1,42.326920,0.400349,1.584662,0.226380
e1,10000,100,100000,7,1,48.166907,0.375780,1.170389,0.195065
e1,10000,100,100000,6,1,55.985415,0.405596,1.207747,0.241549
e1,10000,100,100000,5,1,67.406093,0.432266,1.040750,0.260188
e1,10000,100,100000,4,1,83.886072,0.391021,0.649952,0.216651
e1,10000,100,100000,3,1,111.394764,0.426307,0.528446,0.264223
e1,10000,100,100000,2,1,166.104391,0.433740,0.254389,0.254389
e1,10000,100,100000,1,1,332.922084,0.396928,0.000000,0.000000
e1,10000,100,100000,12,1,28.802773,0.466103,3.195061,0.290460
e1,10000,100,100000,11,1,31.058263,0.158592,0.362642,0.036264
e1,10000,100,100000,10,1,34.018874,0.153843,0.283678,0.031520
e1,10000,100,100000,9,1,37.810812,0.382384,1.706266,0.213283
e1,10000,100,100000,8,1,42.342575,0.415968,1.671951,0.238850
e1,10000,100,100000,7,1,48.169385,0.384883,1.273883,0.212314
e1,10000,100,100000,6,1,55.953719,0.374658,1.006947,0.201389
e1,10000,100,100000,5,1,67.474376,0.448329,1.106852,0.276713
e1,10000,100,100000,4,1,83.867261,0.384186,0.639359,0.213120
e1,10000,100,100000,3,1,111.437975,0.473511,0.586682,0.293341
e1,10000,100,100000,2,1,166.227758,0.502629,0.328756,0.328756
e1,10000,100,100000,1,1,333.226102,0.457235,0.000000,0.000000
e1,10000,100,100000,12,1,28.825664,0.461129,3.025408,0.275037
e1,10000,100,100000,11,1,30.976028,0.155547,0.345112,0.034511
e1,10000,100,100000,10,1,33.907506,0.156209,0.293917,0.032657
e1,10000,100,100000,9,1,37.776515,0.380753,1.592261,0.199033
e1,10000,100,100000,8,1,42.358467,0.435717,1.813672,0.259096
e1,10000,100,100000,7,1,48.172395,0.376991,1.172479,0.195413
e1,10000,100,100000,6,1,55.933873,0.372646,0.979499,0.195900
e1,10000,100,100000,5,1,67.349239,0.448919,1.097789,0.274447
e1,10000,100,100000,4,1,83.882841,0.424015,0.738493,0.246164
e1,10000,100,100000,3,1,111.434459,0.466476,0.574276,0.287138
e1,10000,100,100000,2,1,166.142354,0.459203,0.281345,0.281345
e1,10000,100,100000,1,1,332.912437,0.397463,0.000000,0.000000
