action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,10000,100,1,1,1,190.979433,4.805648,0.000000,0.000000
e1,10000,100,1,1,2,99.601926,4.633117,0.000000,0.000000
e1,10000,100,1,1,3,68.214546,4.572566,0.000000,0.000000
e1,10000,100,1,1,4,52.902447,4.876502,0.000000,0.000000
e1,10000,100,1,1,5,43.569184,4.886877,0.000000,0.000000
e1,10000,100,1,1,6,37.562504,4.951025,0.000000,0.000000
e1,10000,100,1,1,7,33.124343,5.007733,0.000000,0.000000
e1,10000,100,1,1,8,30.393064,5.093471,0.000000,0.000000
e1,10000,100,1,1,9,27.967997,5.162835,0.000000,0.000000
e1,10000,100,1,1,10,27.475354,5.235322,0.000000,0.000000
e1,10000,100,1,1,11,26.883876,5.038177,0.000000,0.000000
e1,10000,100,1,1,12,25.393264,5.135299,0.000000,0.000000
e1,10000,100,1,1,13,26.089538,5.164295,0.000000,0.000000
e1,10000,100,1,1,14,24.997895,5.178391,0.000000,0.000000
e1,10000,100,1,1,15,24.104852,5.168210,0.000000,0.000000
e1,10000,100,1,1,16,24.234897,5.272437,0.000000,0.000000
e1,10000,100,1,1,17,23.410259,5.264634,0.000000,0.000000
e1,10000,100,1,1,18,22.730265,5.396720,0.000000,0.000000
e1,10000,100,1,1,19,22.145684,5.219590,0.000000,0.000000
e1,10000,100,1,1,20,22.005113,5.349643,0.000000,0.000000
e1,10000,100,1,1,21,21.540097,5.516788,0.000000,0.000000
e1,10000,100,1,1,22,20.760542,5.409842,0.000000,0.000000
e1,10000,100,1,1,23,20.424856,5.302006,0.000000,0.000000
e1,10000,100,1,1,24,20.432981,5.414851,0.000000,0.000000
e1,10000,100,1,1,25,20.131983,5.470058,0.000000,0.000000
e1,10000,100,1,1,26,19.649676,5.520431,0.000000,0.000000
e1,10000,100,1,1,27,19.233231,5.393152,0.000000,0.000000
e1,10000,100,1,1,28,18.772621,5.320571,0.000000,0.000000
e1,10000,100,1,1,29,18.935230,5.508745,0.000000,0.000000
e1,10000,100,1,1,30,18.962236,5.793741,0.000000,0.000000
e1,10000,100,1,1,31,18.991595,6.224345,0.000000,0.000000
e1,10000,100,1,1,32,18.630114,6.157279,0.000000,0.000000
e1,10000,100,1,1,33,18.334728,6.559208,0.000000,0.000000
e1,10000,100,1,1,34,18.579894,6.443969,0.000000,0.000000
e1,10000,100,1,1,35,18.339399,6.457304,0.000000,0.000000
e1,10000,100,1,1,36,18.280838,6.452345,0.000000,0.000000
e1,10000,100,1,1,37,18.677937,6.479293,0.000000,0.000000
e1,10000,100,1,1,38,18.434771,6.406315,0.000000,0.000000
e1,10000,100,1,1,39,18.268965,6.643986,0.000000,0.000000
e1,10000,100,1,1,40,17.736332,6.442646,0.000000,0.000000
e1,10000,100,1,1,41,18.624697,6.985882,0.000000,0.000000
e1,10000,100,1,1,42,18.237585,6.781376,0.000000,0.000000
e1,10000,100,1,1,43,18.013355,6.809038,0.000000,0.000000
e1,10000,100,1,1,44,17.693639,6.623883,0.000000,0.000000
e1,10000,100,1,1,45,17.853345,6.059673,0.000000,0.000000
e1,10000,100,1,1,46,18.729252,6.537233,0.000000,0.000000
e1,10000,100,1,1,47,18.268546,6.804642,0.000000,0.000000
e1,10000,100,1,1,48,18.614337,7.216601,0.000000,0.000000
e1,10000,100,1,1,49,18.478379,6.572113,0.000000,0.000000
e1,10000,100,1,1,50,17.936457,6.039819,0.000000,0.000000
e1,10000,100,1,1,51,18.195886,6.713630,0.000000,0.000000
