action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e2,10000,100,1,1,64,242.712771,5.341752,0.000000,0.000000
e2,10000,100,1,1,63,242.635187,5.206026,0.000000,0.000000
e2,10000,100,1,1,62,242.564826,5.224610,0.000000,0.000000
e2,10000,100,1,1,61,242.534464,5.090271,0.000000,0.000000
e2,10000,100,1,1,60,242.494503,5.084320,0.000000,0.000000
e2,10000,100,1,1,59,242.468968,5.093770,0.000000,0.000000
e2,10000,100,1,1,58,242.509477,5.094543,0.000000,0.000000
e2,10000,100,1,1,57,242.490261,5.161171,0.000000,0.000000
e2,10000,100,1,1,56,242.707953,5.575439,0.000000,0.000000
e2,10000,100,1,1,55,242.980600,5.492130,0.000000,0.000000
e2,10000,100,1,1,54,242.972678,5.606623,0.000000,0.000000
e2,10000,100,1,1,53,242.793418,5.530173,0.000000,0.000000
e2,10000,100,1,1,52,242.604107,5.470823,0.000000,0.000000
e2,10000,100,1,1,51,242.589590,5.514815,0.000000,0.000000
e2,10000,100,1,1,50,242.581064,5.533854,0.000000,0.000000
e2,10000,100,1,1,49,242.913737,5.557670,0.000000,0.000000
e2,10000,100,1,1,48,242.891214,5.583083,0.000000,0.000000
e2,10000,100,1,1,47,242.835396,5.622923,0.000000,0.000000
e2,10000,100,1,1,46,242.757628,5.557053,0.000000,0.000000
e2,10000,100,1,1,45,242.725384,5.663425,0.000000,0.000000
e2,10000,100,1,1,44,242.706392,5.540602,0.000000,0.000000
e2,10000,100,1,1,43,242.772134,5.528854,0.000000,0.000000
e2,10000,100,1,1,42,242.939668,5.771696,0.000000,0.000000
e2,10000,100,1,1,41,242.881044,5.668758,0.000000,0.000000
e2,10000,100,1,1,40,242.881232,5.617253,0.000000,0.000000
e2,10000,100,1,1,39,242.930358,5.702366,0.000000,0.000000
e2,10000,100,1,1,38,242.717872,5.600339,0.000000,0.000000
e2,10000,100,1,1,37,242.699089,5.615771,0.000000,0.000000
e2,10000,100,1,1,36,242.919546,5.684702,0.000000,0.000000
