action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,20000,100,100000,1,12,112.792867,1.237458,0.000000,0.000000
e1,20000,100,100000,1,11,122.557922,1.002559,0.000000,0.000000
e1,20000,100,100000,1,10,134.504976,0.944008,0.000000,0.000000
e1,20000,100,100000,1,9,149.554347,1.158778,0.000000,0.000000
e1,20000,100,100000,1,8,167.709795,0.976808,0.000000,0.000000
e1,20000,100,100000,1,7,191.215872,0.969273,0.000000,0.000000
e1,20000,100,100000,1,6,222.992513,1.094116,0.000000,0.000000
e1,20000,100,100000,1,5,266.719361,0.904949,0.000000,0.000000
e1,20000,100,100000,1,4,333.014031,0.927729,0.000000,0.000000
e1,20000,100,100000,1,3,443.371629,0.922597,0.000000,0.000000
e1,20000,100,100000,1,2,664.457218,1.016523,0.000000,0.000000
e1,20000,100,100000,1,1,1327.203087,0.906779,0.000000,0.000000
e1,20000,100,100000,1,12,112.624190,1.009641,0.000000,0.000000
e1,20000,100,100000,1,11,122.510456,0.979257,0.000000,0.000000
e1,20000,100,100000,1,10,134.543897,0.962823,0.000000,0.000000
e1,20000,100,100000,1,9,149.258030,0.937095,0.000000,0.000000
e1,20000,100,100000,1,8,167.739456,0.972070,0.000000,0.000000
e1,20000,100,100000,1,7,191.191900,0.920974,0.000000,0.000000
e1,20000,100,100000,1,6,222.795147,0.905008,0.000000,0.000000
e1,20000,100,100000,1,5,266.997394,0.921077,0.000000,0.000000
e1,20000,100,100000,1,4,333.059636,0.980459,0.000000,0.000000
e1,20000,100,100000,1,3,443.654946,0.971956,0.000000,0.000000
e1,20000,100,100000,1,2,664.496238,0.920355,0.000000,0.000000
