action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
i,4000,0,0,1,1,1.302761,0.009396,0.000000,0.000000
i,5657,0,0,2,1,1.329551,0.037477,0.009799,0.009799
i,8000,0,0,4,1,1.373371,0.065931,0.031113,0.010371
i,11314,0,0,8,1,1.463714,0.122033,0.088364,0.012623
i,16000,0,0,16,1,1.805978,0.409166,0.344353,0.022957
i,22627,0,0,32,1,2.132269,0.461316,0.754429,0.024336
i,32000,0,0,64,1,2.278814,0.903527,1.791345,0.028434
i,4000,0,0,1,1,1.305602,0.012081,0.000000,0.000000
i,5657,0,0,2,1,1.359204,0.066759,0.035982,0.035982
i,8000,0,0,4,1,1.575237,0.270602,0.074438,0.024813
i,11314,0,0,8,1,1.446463,0.126441,0.103101,0.014729
i,16000,0,0,16,1,1.640048,0.271856,0.474201,0.031613
i,22627,0,0,32,1,2.002779,0.449294,0.738059,0.023808
i,32000,0,0,64,1,2.315740,0.948146,1.840058,0.029207
i,4000,0,0,1,1,1.303739,0.011360,0.000000,0.000000
i,5657,0,0,2,1,1.331967,0.041103,0.009639,0.009639
i,8000,0,0,4,1,1.367256,0.069151,0.035163,0.011721
i,11314,0,0,8,1,1.452539,0.125128,0.094411,0.013487
i,16000,0,0,16,1,1.702647,0.232141,0.324759,0.021651
i,22627,0,0,32,1,1.971362,0.450863,0.671479,0.021661
i,32000,0,0,64,1,2.233583,0.898402,1.802124,0.028605
i,4000,0,0,1,1,1.304972,0.011986,0.000000,0.000000
i,5657,0,0,2,1,1.348076,0.036752,0.009424,0.009424
i,8000,0,0,4,1,1.374850,0.070675,0.032917,0.010972
i,11314,0,0,8,1,1.460920,0.128680,0.098810,0.014116
i,16000,0,0,16,1,1.603476,0.242053,0.329801,0.021987
i,22627,0,0,32,1,1.950411,0.467519,0.787875,0.025415
i,32000,0,0,64,1,2.252257,0.895904,1.920063,0.030477
i,4000,0,0,1,1,1.305216,0.012852,0.000000,0.000000
i,5657,0,0,2,1,1.345583,0.036457,0.009599,0.009599
i,8000,0,0,4,1,1.381093,0.065785,0.029607,0.009869
i,11314,0,0,8,1,1.466721,0.127861,0.101737,0.014534
i,16000,0,0,16,1,1.732415,0.245866,0.334279,0.022285
i,22627,0,0,32,1,1.951559,0.449986,0.623766,0.020121
i,32000,0,0,64,1,2.226052,0.897513,1.835862,0.029141
