m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,20.156226931,20.156227,2679.072834
29500,29500,29500,17.421821922,17.421822,2947.151580
29000,29000,29000,22.252026269,22.252026,2192.070035
28500,28500,28500,19.867273784,19.867274,2330.377610
28000,28000,28000,21.869885172,21.869885,2007.509397
27500,27500,27500,18.155664693,18.155665,2290.951651
27000,27000,27000,16.415960655,16.415961,2398.032063
26500,26500,26500,21.557927419,21.557927,1726.476264
26000,26000,26000,21.356214929,21.356215,1645.984558
25500,25500,25500,17.025658531,17.025659,1947.810121
25000,25000,25000,17.051658370,17.051658,1832.666320
24500,24500,24500,16.335346709,16.335347,1800.528053
24000,24000,24000,17.225218471,17.225218,1605.088495
23500,23500,23500,13.456315343,13.456315,1928.889844
23000,23000,23000,13.531395091,13.531395,1798.336375
22500,22500,22500,13.191488871,13.191489,1726.965790
22000,22000,22000,24.902307226,24.902307,855.181803
21500,21500,21500,11.250212043,11.250212,1766.788921
21000,21000,21000,7.913094495,7.913094,2340.677217
20500,20500,20500,8.618223416,8.618223,1999.280962
20000,20000,20000,10.344368531,10.344369,1546.735304
19500,19500,19500,8.788819131,8.788819,1687.342722
19000,19000,19000,7.927395887,7.927396,1730.454767
18500,18500,18500,7.066560510,7.066561,1791.996259
18000,18000,18000,7.964230472,7.964230,1464.548275
17500,17500,17500,6.315133179,6.315133,1697.311790
17000,17000,17000,6.231327083,6.231327,1576.871166
16500,16500,16500,6.471344456,6.471344,1388.312747
16000,16000,16000,5.466763147,5.466763,1498.510138
15500,15500,15500,4.089694032,4.089694,1821.102005
15000,15000,15000,3.854337537,3.854338,1751.273711
14500,14500,14500,4.427976776,4.427977,1376.983283
14000,14000,14000,4.135676086,4.135676,1326.989804
13500,13500,13500,2.901918870,2.901919,1695.688343
13000,13000,13000,2.713549780,2.713550,1619.281147
12500,12500,12500,3.251471989,3.251472,1201.378949
12000,12000,12000,2.622087145,2.622087,1318.033997
11500,11500,11500,1.837433796,1.837434,1655.433794
11000,11000,11000,1.626148448,1.626148,1636.996919
10500,10500,10500,2.046811903,2.046812,1131.149373
10000,10000,10000,1.793586631,1.793587,1115.084137
9500,9500,9500,0.775227580,0.775228,2211.931108
9000,9000,9000,0.636292442,0.636292,2291.399212
8500,8500,8500,0.882250319,0.882250,1392.178584
8000,8000,8000,0.706511365,0.706511,1449.375128
7500,7500,7500,0.243314230,0.243314,3467.737995
7000,7000,7000,0.202740341,0.202740,3383.638385
6500,6500,6500,0.293158012,0.293158,1873.562985
6000,6000,6000,0.246975863,0.246976,1749.158783
5500,5500,5500,0.114677882,0.114678,2901.605734
5000,5000,5000,0.097767788,0.097768,2557.079434
4500,4500,4500,0.124829505,0.124830,1459.991370
4000,4000,4000,0.110783823,0.110784,1155.403348
3500,3500,3500,0.051395210,0.051395,1668.443421
3000,3000,3000,0.042920338,0.042920,1258.144798
2500,2500,2500,0.043858528,0.043859,712.518213
2000,2000,2000,0.030967917,0.030968,516.663746
30000,30000,30000,19.656641913,19.656642,2747.163032
29500,29500,29500,23.916235735,23.916236,2146.857498
