m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.035262113,0.035262,453.744788
2500,2500,2500,0.050369571,0.050370,620.414258
3000,3000,3000,0.053069673,0.053070,1017.530295
3500,3500,3500,0.064461234,0.064461,1330.256880
4000,4000,4000,0.126919377,0.126919,1008.514248
4500,4500,4500,0.143137104,0.143137,1273.254767
5000,5000,5000,0.112527122,0.112527,2221.686608
5500,5500,5500,0.122740401,0.122740,2711.006297
6000,6000,6000,0.260910726,0.260911,1655.738753
6500,6500,6500,0.323611799,0.323612,1697.249611
7000,7000,7000,0.237795734,0.237796,2884.828876
7500,7500,7500,0.261936570,0.261937,3221.199697
8000,8000,8000,0.801014638,0.801015,1278.378636
8500,8500,8500,0.942182032,0.942182,1303.622823
9000,9000,9000,0.679669585,0.679670,2145.159990
9500,9500,9500,0.836566517,0.836567,2049.747348
10000,10000,10000,1.877465649,1.877466,1065.265828
10500,10500,10500,2.114325378,2.114325,1095.030133
11000,11000,11000,1.695675571,1.695676,1569.875774
11500,11500,11500,1.874428913,1.874429,1622.760927
12000,12000,12000,2.679676631,2.679677,1289.707855
12500,12500,12500,3.320486901,3.320487,1176.408797
13000,13000,13000,2.723024505,2.723025,1613.646881
13500,13500,13500,2.949058314,2.949058,1668.583485
14000,14000,14000,4.240196859,4.240197,1294.279531
14500,14500,14500,4.007415168,4.007415,1521.491970
15000,15000,15000,3.828359924,3.828360,1763.157105
15500,15500,15500,4.768484296,4.768484,1561.869462
16000,16000,16000,6.144027149,6.144027,1333.327442
16500,16500,16500,6.530831408,6.530831,1375.667115
17000,17000,17000,5.965081985,5.965082,1647.253135
17500,17500,17500,5.296053352,5.296053,2023.912768
18000,18000,18000,6.717261453,6.717261,1736.421916
18500,18500,18500,6.977241408,6.977241,1814.936486
19000,19000,19000,7.947334339,7.947334,1726.113363
19500,19500,19500,6.626868333,6.626868,2237.821736
20000,20000,20000,8.285773901,8.285774,1931.020589
20500,20500,20500,8.521103663,8.521104,2022.067878
21000,21000,21000,10.152905606,10.152906,1824.305349
21500,21500,21500,10.714196195,10.714196,1855.178834
22000,22000,22000,25.043400064,25.043400,850.363766
22500,22500,22500,14.485599700,14.485600,1572.682559
23000,23000,23000,13.533338548,13.533339,1798.078125
23500,23500,23500,14.323979979,14.323980,1812.048749
24000,24000,24000,15.481348773,15.481349,1785.890907
24500,24500,24500,15.628027933,15.628028,1882.019288
