m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,20.632343467,20.632343,2617.249954
29500,29500,29500,22.302098880,22.302099,2302.238470
29000,29000,29000,21.609330440,21.609330,2257.265681
28500,28500,28500,22.574779353,22.574779,2050.883833
28000,28000,28000,24.243824570,24.243825,1810.935394
27500,27500,27500,20.995984181,20.995984,1981.033594
27000,27000,27000,20.244122950,20.244123,1944.564361
26500,26500,26500,20.679113919,20.679114,1799.847428
26000,26000,26000,21.112847648,21.112848,1664.957782
25500,25500,25500,18.006652048,18.006652,1841.694387
25000,25000,25000,16.989058575,16.989059,1839.419169
24500,24500,24500,15.345774611,15.345775,1916.635083
24000,24000,24000,15.106587911,15.106588,1830.194890
23500,23500,23500,13.450365342,13.450365,1929.743121
23000,23000,23000,12.979295091,12.979295,1874.832172
22500,22500,22500,10.421228057,10.421228,2186.042746
22000,22000,22000,12.315636559,12.315637,1729.183863
21500,21500,21500,8.265402511,8.265403,2404.813314
21000,21000,21000,7.406492455,7.406492,2500.778893
20500,20500,20500,8.547268066,8.547268,2015.878040
20000,20000,20000,8.359978006,8.359978,1913.880633
19500,19500,19500,6.593982878,6.593983,2248.982182
19000,19000,19000,5.396111293,5.396111,2542.201088
18500,18500,18500,6.657499974,6.657500,1902.102899
18000,18000,18000,6.764088907,6.764089,1724.400752
17500,17500,17500,4.884467362,4.884467,2194.456264
17000,17000,17000,5.042171470,5.042171,1948.763555
16500,16500,16500,5.687066691,5.687067,1579.768708
16000,16000,16000,4.941368072,4.941368,1657.840477
15500,15500,15500,4.095539750,4.095540,1818.502677
15000,15000,15000,3.181506178,3.181506,2121.636616
14500,14500,14500,4.377709792,4.377710,1392.794472
14000,14000,14000,4.192917834,4.192918,1308.873729
13500,13500,13500,2.866345747,2.866346,1716.732884
13000,13000,13000,2.654259446,2.654259,1655.452336
12500,12500,12500,3.299483832,3.299484,1183.897300
12000,12000,12000,3.040618309,3.040618,1136.610929
11500,11500,11500,1.837113079,1.837113,1655.722794
11000,11000,11000,1.619353246,1.619353,1643.866159
10500,10500,10500,2.043469646,2.043470,1132.999457
