m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,20.251396401,20.251396,2666.482791
29500,29500,29500,24.199323024,24.199323,2121.743238
29000,29000,29000,22.620315503,22.620316,2156.380179
28500,28500,28500,21.510777377,21.510777,2152.328072
28000,28000,28000,19.358740963,19.358741,2267.916084
27500,27500,27500,16.844999845,16.845000,2469.204534
27000,27000,27000,18.423439142,18.423439,2136.734607
26500,26500,26500,19.180676324,19.180676,1940.455559
26000,26000,26000,18.731185476,18.731185,1876.656448
25500,25500,25500,18.468590068,18.468590,1795.629763
25000,25000,25000,17.563716822,17.563717,1779.236156
24500,24500,24500,16.306537135,16.306537,1803.709136
24000,24000,24000,14.078613664,14.078614,1963.829725
23500,23500,23500,13.553669329,13.553669,1915.034916
23000,23000,23000,13.177893620,13.177894,1846.577359
22500,22500,22500,9.481474543,9.481475,2402.711719
22000,22000,22000,10.869277645,10.869278,1959.283836
21500,21500,21500,8.539590655,8.539591,2327.599858
21000,21000,21000,7.142816168,7.142816,2593.094875
20500,20500,20500,6.655601390,6.655601,2588.834425
20000,20000,20000,7.292241364,7.292241,2194.112784
30000,30000,30000,20.828035141,20.828035,2592.659348
29500,29500,29500,17.287852764,17.287853,2969.990010
29000,29000,29000,21.958879368,21.958879,2221.333757
28500,28500,28500,21.650910038,21.650910,2138.397412
28000,28000,28000,18.767555054,18.767555,2339.356399
27500,27500,27500,17.560413320,17.560413,2368.608827
27000,27000,27000,19.126811625,19.126812,2058.157981
26500,26500,26500,18.697414996,18.697415,1990.609398
26000,26000,26000,18.578690327,18.578690,1892.060171
25500,25500,25500,18.476985736,18.476986,1794.813855
25000,25000,25000,17.574921776,17.574922,1778.101797
24500,24500,24500,16.185312813,16.185313,1817.218508
24000,24000,24000,14.143038161,14.143038,1954.884070
23500,23500,23500,13.565498467,13.565498,1913.365002
23000,23000,23000,13.229582153,13.229582,1839.362704
22500,22500,22500,9.525017642,9.525018,2391.727854
22000,22000,22000,11.354866071,11.354866,1875.495481
21500,21500,21500,8.575011694,8.575012,2317.985177
21000,21000,21000,6.830032220,6.830032,2711.846651
20500,20500,20500,7.607631505,7.607632,2264.863905
20000,20000,20000,7.326937851,7.326938,2183.722631
30000,30000,30000,21.233030276,21.233030,2543.207413
29500,29500,29500,17.366242962,17.366243,2956.583650
29000,29000,29000,22.629971005,22.629971,2155.460119
28500,28500,28500,21.570878374,21.570878,2146.331234
28000,28000,28000,19.223475704,19.223476,2283.874190
27500,27500,27500,17.313055742,17.313056,2402.449956
27000,27000,27000,19.766201212,19.766201,1991.581467
26500,26500,26500,19.357082672,19.357083,1922.771661
26000,26000,26000,18.719317862,18.719318,1877.846205
25500,25500,25500,18.584778386,18.584778,1784.403844
25000,25000,25000,17.266676394,17.266676,1809.844540
24500,24500,24500,16.404832916,16.404833,1792.901528
24000,24000,24000,14.032582996,14.032583,1970.271618
23500,23500,23500,13.519615707,13.519616,1919.858564
23000,23000,23000,13.222429471,13.222429,1840.357708
22500,22500,22500,9.455278618,9.455279,2409.368451
22000,22000,22000,11.371462547,11.371463,1872.758224
21500,21500,21500,8.587835206,8.587835,2314.523919
21000,21000,21000,6.811231796,6.811232,2719.331915
20500,20500,20500,7.602826644,7.602827,2266.295262
20000,20000,20000,7.285660061,7.285660,2196.094776
30000,30000,30000,21.081460151,21.081460,2561.492402
29500,29500,29500,24.238391921,24.238392,2118.323285
29000,29000,29000,22.593149266,22.593149,2158.973033
28500,28500,28500,21.446518270,21.446518,2158.776983
28000,28000,28000,19.478989513,19.478990,2253.915685
27500,27500,27500,19.211374139,19.211374,2165.058558
27000,27000,27000,19.923367951,19.923368,1975.870751
26500,26500,26500,19.423263525,19.423264,1916.220204
26000,26000,26000,18.480611684,18.480612,1902.101543
25500,25500,25500,18.335694528,18.335695,1808.644333
25000,25000,25000,17.523873653,17.523874,1783.281517
24500,24500,24500,16.318689877,16.318690,1802.365890
24000,24000,24000,14.026972838,14.026973,1971.059638
23500,23500,23500,13.588262044,13.588262,1910.159660
23000,23000,23000,13.177305121,13.177305,1846.659827
22500,22500,22500,9.539848807,9.539849,2388.009544
22000,22000,22000,10.856942151,10.856942,1961.509945
21500,21500,21500,8.527269620,8.527270,2330.963003
21000,21000,21000,6.662618227,6.662618,2779.988192
20500,20500,20500,7.640596107,7.640596,2255.092372
20000,20000,20000,7.268903228,7.268903,2201.157382
30000,30000,30000,21.644110486,21.644110,2494.905024
29500,29500,29500,24.549058217,24.549058,2091.516080
29000,29000,29000,22.502651368,22.502651,2167.655678
28500,28500,28500,21.021176874,21.021177,2202.457564
28000,28000,28000,20.282928740,20.282929,2164.578921
27500,27500,27500,17.043424319,17.043424,2440.457341
27000,27000,27000,20.645278540,20.645279,1906.779796
26500,26500,26500,19.628014669,19.628015,1896.231006
26000,26000,26000,17.542365976,17.542366,2003.834605
25500,25500,25500,18.542341959,18.542342,1788.487672
25000,25000,25000,17.590426704,17.590427,1776.534505
24500,24500,24500,16.374624032,16.374624,1796.209180
24000,24000,24000,14.127038126,14.127038,1957.098137
23500,23500,23500,13.610417489,13.610417,1907.050244
23000,23000,23000,13.221716960,13.221717,1840.456884
22500,22500,22500,9.549185933,9.549186,2385.674565
22000,22000,22000,10.873512931,10.873513,1958.520686
21500,21500,21500,8.547609447,8.547609,2325.416261
21000,21000,21000,7.139447249,7.139447,2594.318489
20500,20500,20500,7.637790562,7.637791,2255.920722
20000,20000,20000,7.275408708,7.275409,2199.189165
