m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,31.419368585,31.419369,1718.685080
30000,30000,30000,34.385436735,34.385437,1570.432286
30000,30000,30000,33.691291844,33.691292,1602.788051
30000,30000,30000,34.481207418,34.481207,1566.070449
30000,30000,30000,36.425257852,36.425258,1482.487790
30000,30000,30000,42.420568217,42.420568,1272.967390
30000,30000,30000,42.053099641,42.053100,1284.090839
30000,30000,30000,44.000272010,44.000272,1227.265140
30000,30000,30000,44.383601171,44.383601,1216.665583
30000,30000,30000,46.221672450,46.221672,1168.283126
30000,30000,30000,48.379296861,48.379297,1116.179926
30000,30000,30000,56.396662737,56.396663,957.503465
30000,30000,30000,55.820385736,55.820386,967.388514
30000,30000,30000,65.624099578,65.624100,822.868433
30000,30000,30000,66.146467026,66.146467,816.370132
30000,30000,30000,74.588909843,74.588910,723.968216
30000,30000,30000,85.474355594,85.474356,631.768437
30000,30000,30000,103.373020812,103.373021,522.380013
30000,30000,30000,110.040391121,110.040391,490.728899
30000,30000,30000,137.151505633,137.151506,393.725171
30000,30000,30000,163.473111911,163.473112,330.329553
30000,30000,30000,220.659552321,220.659552,244.720881
30000,30000,30000,332.203135996,332.203136,162.551145
30000,30000,30000,654.718471939,654.718472,82.478198
30000,30000,30000,31.381759203,31.381759,1720.744833
30000,30000,30000,33.100287964,33.100288,1631.405747
30000,30000,30000,33.379193920,33.379194,1617.774238
30000,30000,30000,34.132544445,34.132544,1582.067815
30000,30000,30000,36.792225489,36.792225,1467.701377
30000,30000,30000,42.178300490,42.178300,1280.279181
30000,30000,30000,42.514221169,42.514221,1270.163219
30000,30000,30000,44.527279503,44.527280,1212.739709
30000,30000,30000,44.500523870,44.500524,1213.468861
30000,30000,30000,46.691015207,46.691015,1156.539428
30000,30000,30000,48.309949330,48.309949,1117.782170
30000,30000,30000,56.778343001,56.778343,951.066853
30000,30000,30000,55.334958401,55.334958,975.874954
30000,30000,30000,65.990458382,65.990458,818.300120
30000,30000,30000,65.842110988,65.842111,820.143814
30000,30000,30000,74.829205815,74.829206,721.643367
30000,30000,30000,85.930870998,85.930871,628.412110
30000,30000,30000,103.812120555,103.812121,520.170474
30000,30000,30000,111.053545454,111.053545,486.251923
30000,30000,30000,139.442928433,139.442928,387.255206
30000,30000,30000,164.313646512,164.313647,328.639776
30000,30000,30000,220.203928919,220.203929,245.227232
30000,30000,30000,330.384614396,330.384614,163.445868
30000,30000,30000,654.671372498,654.671372,82.484132
30000,30000,30000,31.713238157,31.713238,1702.758947
30000,30000,30000,32.784893453,32.784893,1647.100061
30000,30000,30000,32.259754671,32.259755,1673.912296
30000,30000,30000,34.770123950,34.770124,1553.057449
30000,30000,30000,37.569550560,37.569551,1437.334203
30000,30000,30000,42.067716144,42.067716,1283.644679
30000,30000,30000,41.984789432,41.984789,1286.180084
30000,30000,30000,44.591098209,44.591098,1211.004038
30000,30000,30000,44.554665462,44.554665,1211.994287
30000,30000,30000,45.665726370,45.665726,1182.506100
30000,30000,30000,48.273203981,48.273204,1118.633021
30000,30000,30000,56.597988675,56.597989,954.097509
30000,30000,30000,55.651628549,55.651629,970.322009
30000,30000,30000,65.677723849,65.677724,822.196581
30000,30000,30000,65.937695757,65.937696,818.954915
30000,30000,30000,74.795541448,74.795541,721.968168
30000,30000,30000,84.601524290,84.601524,638.286372
30000,30000,30000,103.117839681,103.117840,523.672724
30000,30000,30000,109.072556628,109.072557,495.083288
30000,30000,30000,137.627738384,137.627738,392.362765
30000,30000,30000,163.576785255,163.576785,330.120193
