m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,29.310090714,29.310091,1842.368914
29500,29500,29500,27.224896198,27.224896,1885.948421
29000,29000,29000,26.073236480,26.073236,1870.807256
28500,28500,28500,24.387532077,24.387532,1898.439328
28000,28000,28000,23.111227573,23.111228,1899.682735
27500,27500,27500,21.994714095,21.994714,1891.079367
27000,27000,27000,20.050604472,20.050604,1963.332330
26500,26500,26500,20.080379381,20.080379,1853.513287
26000,26000,26000,19.257624057,19.257624,1825.354981
25500,25500,25500,17.650680920,17.650681,1878.836865
25000,25000,25000,16.006385714,16.006386,1952.345805
24500,24500,24500,15.428453624,15.428454,1906.364093
24000,24000,24000,14.265322885,14.265323,1938.126478
23500,23500,23500,13.322218494,13.322218,1948.305383
23000,23000,23000,13.021458290,13.021458,1868.761506
22500,22500,22500,12.120723613,12.120724,1879.528874
22000,22000,22000,10.996901493,10.996901,1936.545491
21500,21500,21500,10.352814214,10.352814,1919.936897
21000,21000,21000,10.361216166,10.361216,1787.627987
20500,20500,20500,9.454331648,9.454332,1822.471502
20000,20000,20000,8.603767867,8.603768,1859.650359
19500,19500,19500,8.032273409,8.032273,1846.270569
19000,19000,19000,7.647964776,7.647965,1793.679809
18500,18500,18500,6.969382081,6.969382,1816.983178
18000,18000,18000,6.428754966,6.428755,1814.348200
17500,17500,17500,5.902202147,5.902202,1816.059453
17000,17000,17000,5.356824125,5.356824,1834.295801
16500,16500,16500,4.814748718,4.814749,1865.985231
16000,16000,16000,4.156378097,4.156378,1970.946774
15500,15500,15500,3.769314108,3.769314,1975.889986
15000,15000,15000,3.626527883,3.626528,1861.284462
14500,14500,14500,3.063230297,3.063230,1990.464121
14000,14000,14000,2.877944029,2.877944,1906.916863
13500,13500,13500,2.454697993,2.454698,2004.625422
13000,13000,13000,2.339934899,2.339935,1877.830021
12500,12500,12500,1.986975476,1.986975,1965.927636
12000,12000,12000,1.763494872,1.763495,1959.744854
11500,11500,11500,1.558798476,1.558798,1951.342683
11000,11000,11000,1.427054793,1.427055,1865.380372
10500,10500,10500,1.257044012,1.257044,1841.820953
10000,10000,10000,1.042508333,1.042508,1918.449893
9500,9500,9500,0.893859467,0.893859,1918.366436
9000,9000,9000,0.744546393,0.744546,1958.239290
8500,8500,8500,0.631342759,0.631343,1945.456699
8000,8000,8000,0.524081586,0.524082,1953.894255
7500,7500,7500,0.435918902,0.435919,1935.566446
7000,7000,7000,0.356133114,0.356133,1926.246038
6500,6500,6500,0.285336059,0.285336,1924.923201
6000,6000,6000,0.229829354,0.229829,1879.655460
5500,5500,5500,0.177577841,0.177578,1873.826138
5000,5000,5000,0.134540767,0.134541,1858.172847
4500,4500,4500,0.100373676,0.100374,1815.715108
4000,4000,4000,0.073111744,0.073112,1750.744723
3500,3500,3500,0.050927729,0.050928,1683.758567
3000,3000,3000,0.035875236,0.035875,1505.216579
2500,2500,2500,0.023968274,0.023968,1303.806857
2000,2000,2000,0.014596866,0.014597,1096.125703
30000,30000,30000,28.637093675,28.637094,1885.666214
29500,29500,29500,27.481172560,27.481173,1868.360962
29000,29000,29000,25.819018798,25.819019,1889.227487
28500,28500,28500,24.548157828,24.548158,1886.017286
28000,28000,28000,23.293198815,23.293199,1884.842024
27500,27500,27500,21.301974552,21.301975,1952.577208
27000,27000,27000,20.128017588,20.128018,1955.781280
26500,26500,26500,20.171233736,20.171234,1845.164777
26000,26000,26000,18.924957074,18.924957,1857.441465
25500,25500,25500,17.566934587,17.566935,1887.793789
25000,25000,25000,15.893113363,15.893113,1966.260435
24500,24500,24500,15.292128012,15.292128,1923.358867
24000,24000,24000,14.629664067,14.629664,1889.858843
23500,23500,23500,13.272569548,13.272570,1955.593445
23000,23000,23000,13.046064736,13.046065,1865.236797
22500,22500,22500,11.691472431,11.691472,1948.535579
22000,22000,22000,11.122628714,11.122629,1914.655298
21500,21500,21500,11.375950823,11.375951,1747.260542
21000,21000,21000,10.387650231,10.387650,1783.078905
20500,20500,20500,9.468314614,9.468315,1819.780046
20000,20000,20000,8.552153591,8.552154,1870.873790
19500,19500,19500,8.007676860,8.007677,1851.941613
