m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.014331115,0.014331,1116.451860
2500,2500,2500,0.024169396,0.024169,1292.957424
3000,3000,3000,0.035591445,0.035591,1517.218534
3500,3500,3500,0.052939127,0.052939,1619.784928
4000,4000,4000,0.075723850,0.075724,1690.352511
4500,4500,4500,0.102346454,0.102346,1780.716311
5000,5000,5000,0.138102901,0.138103,1810.244377
5500,5500,5500,0.184185120,0.184185,1806.606310
6000,6000,6000,0.232062417,0.232062,1861.568131
6500,6500,6500,0.293076928,0.293077,1874.081333
7000,7000,7000,0.363836803,0.363837,1885.460718
7500,7500,7500,0.443802060,0.443802,1901.185407
8000,8000,8000,0.542000848,0.542001,1889.295937
8500,8500,8500,0.647282938,0.647283,1897.547313
9000,9000,9000,0.767951855,0.767952,1898.556518
9500,9500,9500,0.902054348,0.902054,1900.938678
10000,10000,10000,1.112631605,1.112632,1797.540166
10500,10500,10500,1.285147289,1.285147,1801.544477
11000,11000,11000,1.478890751,1.478891,1799.997734
11500,11500,11500,1.648861707,1.648862,1844.757500
12000,12000,12000,1.855632725,1.855633,1862.437514
12500,12500,12500,2.116281885,2.116282,1845.807984
13000,13000,13000,2.341846075,2.341846,1876.297527
13500,13500,13500,2.616476114,2.616476,1880.678357
14000,14000,14000,2.941089189,2.941089,1865.975374
14500,14500,14500,3.366084602,3.366085,1811.377526
15000,15000,15000,3.623837039,3.623837,1862.666540
15500,15500,15500,3.961057016,3.961057,1880.243069
16000,16000,16000,4.386729588,4.386730,1867.450417
16500,16500,16500,5.050712959,5.050713,1778.808274
17000,17000,17000,5.600627789,5.600628,1754.446175
17500,17500,17500,6.133367730,6.133368,1747.612482
18000,18000,18000,6.632688939,6.632689,1758.562795
18500,18500,18500,7.427267371,7.427267,1704.967570
19000,19000,19000,7.723104353,7.723104,1776.228751
19500,19500,19500,8.438559022,8.438559,1757.379425
20000,20000,20000,9.183380281,9.183380,1742.277844
20500,20500,20500,10.235447254,10.235447,1683.390044
21000,21000,21000,11.050792848,11.050793,1676.078835
21500,21500,21500,12.104286701,12.104287,1642.124851
22000,22000,22000,11.556873199,11.556873,1842.712958
22500,22500,22500,12.293281761,12.293282,1853.146332
23000,23000,23000,13.102149718,13.102150,1857.252476
23500,23500,23500,15.270944321,15.270944,1699.682053
24000,24000,24000,15.443481364,15.443481,1790.269911
24500,24500,24500,16.379030875,16.379031,1795.725902
25000,25000,25000,17.141780312,17.141780,1823.031181
25500,25500,25500,17.979744034,17.979744,1844.450618
26000,26000,26000,19.693714803,19.693715,1784.934958
26500,26500,26500,21.798959899,21.798960,1707.386507
27000,27000,27000,21.376720263,21.376720,1841.536003
27500,27500,27500,22.289949442,22.289949,1866.031599
28000,28000,28000,24.319968729,24.319969,1805.265479
28500,28500,28500,27.034327901,27.034328,1712.572629
29000,29000,29000,27.569621438,27.569621,1769.266223
29500,29500,29500,29.878736511,29.878737,1718.437792
30000,30000,30000,30.206820941,30.206821,1787.675708
2000,2000,2000,0.014841933,0.014842,1078.026696
2500,2500,2500,0.023881742,0.023882,1308.531011
3000,3000,3000,0.035971383,0.035971,1501.193324
3500,3500,3500,0.052967888,0.052968,1618.905402
4000,4000,4000,0.075391337,0.075391,1697.807800
4500,4500,4500,0.103027879,0.103028,1768.938677
5000,5000,5000,0.137923707,0.137924,1812.596293
5500,5500,5500,0.183016329,0.183016,1818.143779
6000,6000,6000,0.232886008,0.232886,1854.984779
6500,6500,6500,0.293603060,0.293603,1870.723009
7000,7000,7000,0.363852341,0.363852,1885.380202
7500,7500,7500,0.444649039,0.444649,1897.563980
8000,8000,8000,0.541792864,0.541793,1890.021202
8500,8500,8500,0.646682993,0.646683,1899.307718
9000,9000,9000,0.762607365,0.762607,1911.861945
9500,9500,9500,0.911591777,0.911592,1881.050316
10000,10000,10000,1.113783302,1.113783,1795.681437
10500,10500,10500,1.284650015,1.284650,1802.241835
11000,11000,11000,1.480812566,1.480813,1797.661677
11500,11500,11500,1.650560286,1.650560,1842.859074
12000,12000,12000,1.853176980,1.853177,1864.905531
12500,12500,12500,2.104229323,2.104229,1856.380366
13000,13000,13000,2.350004362,2.350004,1869.783763
13500,13500,13500,2.645026141,2.645026,1860.378589
14000,14000,14000,2.920177463,2.920177,1879.337838
14500,14500,14500,3.404342681,3.404343,1791.021225
15000,15000,15000,3.631538488,3.631538,1858.716360
15500,15500,15500,4.018228752,4.018229,1853.490794
16000,16000,16000,4.376089850,4.376090,1871.990814
16500,16500,16500,5.021735715,5.021736,1789.072645
17000,17000,17000,5.635303683,5.635304,1743.650485
17500,17500,17500,6.052190164,6.052190,1771.053075
18000,18000,18000,6.612154124,6.612154,1764.024217
18500,18500,18500,7.400637474,7.400637,1711.102597
19000,19000,19000,7.786525345,7.786525,1761.761427
19500,19500,19500,8.533417287,8.533417,1737.844231
20000,20000,20000,9.158160987,9.158161,1747.075644
20500,20500,20500,10.211351871,10.211352,1687.362282
21000,21000,21000,11.037954175,11.037954,1678.028347
21500,21500,21500,12.084493317,12.084493,1644.814514
22000,22000,22000,11.474760561,11.474761,1855.899292
22500,22500,22500,12.293754194,12.293754,1853.075118
23000,23000,23000,13.084285727,13.084286,1859.788185
23500,23500,23500,15.262953262,15.262953,1700.571937
24000,24000,24000,15.320692183,15.320692,1804.618203
24500,24500,24500,16.362526228,16.362526,1797.537226
25000,25000,25000,17.368083279,17.368083,1799.277416
25500,25500,25500,17.834853362,17.834853,1859.434969
26000,26000,26000,19.571390009,19.571390,1796.091130
26500,26500,26500,21.963813190,21.963813,1694.571415
27000,27000,27000,21.606998569,21.606999,1821.909687
27500,27500,27500,22.998959913,22.998960,1808.505696
28000,28000,28000,24.238012684,24.238013,1811.369627
28500,28500,28500,25.604306465,25.604306,1808.221209
29000,29000,29000,27.381127745,27.381128,1781.445982
29500,29500,29500,29.916709113,29.916709,1716.256618
30000,30000,30000,30.199929476,30.199929,1788.083646
2000,2000,2000,0.014883356,0.014883,1075.026358
2500,2500,2500,0.024213811,0.024214,1290.585774
3000,3000,3000,0.036084111,0.036084,1496.503544
3500,3500,3500,0.053379192,0.053379,1606.431210
4000,4000,4000,0.075833554,0.075834,1687.907176
4500,4500,4500,0.102861753,0.102862,1771.795587
5000,5000,5000,0.138332816,0.138333,1807.235674
5500,5500,5500,0.183767146,0.183767,1810.715393
6000,6000,6000,0.231310519,0.231311,1867.619345
6500,6500,6500,0.293412235,0.293412,1871.939662
7000,7000,7000,0.363982576,0.363983,1884.705602
7500,7500,7500,0.444550300,0.444550,1897.985447
8000,8000,8000,0.541124203,0.541124,1892.356680
8500,8500,8500,0.647036994,0.647037,1898.268586
9000,9000,9000,0.764000375,0.764000,1908.376027
9500,9500,9500,0.907542595,0.907543,1889.442996
10000,10000,10000,1.114133629,1.114134,1795.116805
10500,10500,10500,1.295371729,1.295372,1787.324787
11000,11000,11000,1.481034550,1.481035,1797.392235
11500,11500,11500,1.644530099,1.644530,1849.616496
12000,12000,12000,1.854094301,1.854094,1863.982861
12500,12500,12500,2.108739425,2.108739,1852.410001
13000,13000,13000,2.364267548,2.364268,1858.503706
13500,13500,13500,2.647439943,2.647440,1858.682390
14000,14000,14000,2.923761122,2.923761,1877.034330
14500,14500,14500,3.374864738,3.374865,1806.664999
15000,15000,15000,3.631334198,3.631334,1858.820927
15500,15500,15500,3.976434822,3.976435,1872.971728
16000,16000,16000,4.389294525,4.389295,1866.359150
16500,16500,16500,5.009937937,5.009938,1793.285688
17000,17000,17000,5.597017579,5.597018,1755.577834
17500,17500,17500,6.053915044,6.053915,1770.548467
18000,18000,18000,6.561802049,6.561802,1777.560480
18500,18500,18500,7.414738449,7.414738,1707.848508
19000,19000,19000,7.712697226,7.712697,1778.625505
19500,19500,19500,8.436913607,8.436914,1757.722159
20000,20000,20000,9.199649334,9.199649,1739.196726
20500,20500,20500,10.204148238,10.204148,1688.553478
21000,21000,21000,11.023345913,11.023346,1680.252089
21500,21500,21500,11.837281287,11.837281,1679.165132
22000,22000,22000,11.468167637,11.468168,1856.966228
22500,22500,22500,12.225222624,12.225223,1863.462998
23000,23000,23000,13.122357971,13.122358,1854.392332
23500,23500,23500,15.250088897,15.250089,1702.006472
24000,24000,24000,15.298902555,15.298903,1807.188450
24500,24500,24500,16.387129546,16.387130,1794.838438
25000,25000,25000,17.094073243,17.094073,1828.118995
25500,25500,25500,17.844033788,17.844034,1858.478324
26000,26000,26000,19.586194609,19.586195,1794.733520
26500,26500,26500,21.771870242,21.771870,1709.510923
27000,27000,27000,21.458055660,21.458056,1834.555778
27500,27500,27500,23.033421311,23.033421,1805.799904
28000,28000,28000,24.222424419,24.222424,1812.535328
28500,28500,28500,25.435634751,25.435635,1820.212094
29000,29000,29000,27.912174636,27.912175,1747.552838
29500,29500,29500,29.839326611,29.839327,1720.707396
30000,30000,30000,30.013818138,30.013818,1799.171293
