m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,31.869202802,31.869203,1694.425817
29500,29500,29500,25.780437268,25.780437,1991.616723
29000,29000,29000,30.202378949,30.202379,1615.038341
28500,28500,28500,29.385312301,29.385312,1575.557528
28000,28000,28000,30.686696479,30.686696,1430.717706
27500,27500,27500,22.464878762,22.464879,1851.501201
27000,27000,27000,21.558970603,21.558971,1825.968444
26500,26500,26500,18.174276552,18.174277,2047.908201
26000,26000,26000,20.636656891,20.636657,1703.376675
25500,25500,25500,23.132352812,23.132353,1433.609035
25000,25000,25000,21.113931416,21.113931,1480.065431
24500,24500,24500,12.994718165,12.994718,2263.400377
24000,24000,24000,18.102901756,18.102902,1527.268963
23500,23500,23500,13.691248250,13.691248,1895.791350
23000,23000,23000,12.423028486,12.423028,1958.781631
22500,22500,22500,16.342940467,16.342940,1393.950498
22000,22000,22000,15.028239421,15.028239,1417.065526
21500,21500,21500,14.048667594,14.048668,1414.849477
21000,21000,21000,13.240102020,13.240102,1398.931819
20500,20500,20500,12.297721420,12.297721,1401.092886
20000,20000,20000,11.428962404,11.428962,1399.952107
30000,30000,30000,30.687170858,30.687171,1759.693008
29500,29500,29500,30.863445507,30.863446,1663.610435
29000,29000,29000,32.944445489,32.944445,1480.613781
28500,28500,28500,24.032757392,24.032757,1926.464336
28000,28000,28000,30.169194391,30.169194,1455.259276
27500,27500,27500,19.373865397,19.373865,2146.899916
27000,27000,27000,18.917378077,18.917378,2080.943767
26500,26500,26500,21.456197903,21.456198,1734.661946
26000,26000,26000,20.879912630,20.879913,1683.531949
25500,25500,25500,15.260997421,15.260997,2173.039487
25000,25000,25000,14.972000724,14.972001,2087.229394
24500,24500,24500,14.620747389,14.620747,2011.678967
24000,24000,24000,16.694274718,16.694275,1656.136638
23500,23500,23500,13.943575813,13.943576,1861.484482
23000,23000,23000,12.562958801,12.562959,1936.964085
22500,22500,22500,11.728590276,11.728590,1942.368986
22000,22000,22000,15.107038185,15.107038,1409.674070
21500,21500,21500,14.036166317,14.036166,1416.109609
21000,21000,21000,13.218108743,13.218109,1401.259466
20500,20500,20500,12.191316921,12.191317,1413.321474
20000,20000,20000,8.838405015,8.838405,1810.281377
30000,30000,30000,26.135954250,26.135954,2066.119319
29500,29500,29500,23.032214507,23.032215,2229.258067
29000,29000,29000,31.557526097,31.557526,1545.685167
28500,28500,28500,31.926854923,31.926855,1450.135007
28000,28000,28000,30.902876864,30.902877,1420.709153
27500,27500,27500,22.513653227,22.513653,1847.490036
27000,27000,27000,21.710121309,21.710121,1813.255644
26500,26500,26500,21.471509716,21.471510,1733.424919
26000,26000,26000,24.836722368,24.836722,1415.323628
25500,25500,25500,22.895516827,22.895517,1448.438585
25000,25000,25000,19.659424821,19.659425,1589.568377
24500,24500,24500,14.594437709,14.594438,2015.305460
24000,24000,24000,16.023293223,16.023293,1725.487989
23500,23500,23500,13.415997991,13.415998,1934.686485
23000,23000,23000,12.501811736,12.501812,1946.437885
22500,22500,22500,11.733369998,11.733370,1941.577740
22000,22000,22000,15.196533455,15.196533,1401.372232
21500,21500,21500,13.677581589,13.677582,1453.235711
21000,21000,21000,13.286010050,13.286010,1394.097997
20500,20500,20500,12.300510639,12.300511,1400.775180
20000,20000,20000,11.388513187,11.388513,1404.924395
30000,30000,30000,30.936297124,30.936297,1745.522413
29500,29500,29500,32.306875433,32.306875,1589.282446
29000,29000,29000,22.698400518,22.698401,2148.961992
28500,28500,28500,31.403760466,31.403760,1474.289999
28000,28000,28000,28.925651486,28.925651,1517.822339
27500,27500,27500,22.227657627,22.227658,1871.261052
27000,27000,27000,26.477997545,26.477998,1486.743850
26500,26500,26500,21.577603856,21.577604,1724.901905
26000,26000,26000,24.570914824,24.570915,1430.634563
25500,25500,25500,16.112041300,16.112041,2058.258751
25000,25000,25000,14.954285235,14.954285,2089.702016
24500,24500,24500,16.713894047,16.713894,1759.748501
24000,24000,24000,17.103876489,17.103876,1616.475658
23500,23500,23500,13.272155505,13.272156,1955.654452
23000,23000,23000,12.543055182,12.543055,1940.037706
22500,22500,22500,16.296011610,16.296012,1397.964762
22000,22000,22000,14.881145324,14.881145,1431.072645
21500,21500,21500,13.967704385,13.967704,1423.050592
21000,21000,21000,13.210326614,13.210327,1402.084940
20500,20500,20500,12.283270309,12.283270,1402.741254
20000,20000,20000,8.899470164,8.899470,1797.859839
30000,30000,30000,35.098754969,35.098755,1538.516111
29500,29500,29500,32.509191171,32.509191,1579.391801
29000,29000,29000,31.313101355,31.313101,1557.750523
28500,28500,28500,24.072714983,24.072715,1923.266654
28000,28000,28000,30.922693839,30.922694,1419.798683
27500,27500,27500,27.606518727,27.606519,1506.664075
27000,27000,27000,27.606149973,27.606150,1425.986602
26500,26500,26500,18.273679432,18.273679,2036.768246
26000,26000,26000,21.185820652,21.185821,1659.222958
25500,25500,25500,20.292025893,20.292026,1634.274970
25000,25000,25000,20.713214441,20.713214,1508.698714
24500,24500,24500,16.667645776,16.667646,1764.631334
24000,24000,24000,18.606113066,18.606113,1485.963237
23500,23500,23500,18.631462314,18.631462,1393.113947
23000,23000,23000,17.475002423,17.475002,1392.503383
