m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,25.910092358,25.910092,2084.129970
29500,29500,29500,23.462959281,23.462959,2188.332230
29000,29000,29000,24.659723132,24.659723,1978.043295
28500,28500,28500,25.489750117,25.489750,1816.347739
28000,28000,28000,30.412790082,30.412790,1443.603164
27500,27500,27500,22.030649897,22.030650,1887.994689
27000,27000,27000,19.887377435,19.887377,1979.446517
26500,26500,26500,18.876288166,18.876288,1971.746229
26000,26000,26000,22.502226207,22.502226,1562.156547
25500,25500,25500,18.847737973,18.847738,1759.508226
25000,25000,25000,22.289000977,22.289001,1402.036818
24500,24500,24500,21.195245261,21.195245,1387.681512
24000,24000,24000,18.490760617,18.490761,1495.233245
23500,23500,23500,13.642675361,13.642675,1902.541057
23000,23000,23000,17.412742220,17.412742,1397.482355
22500,22500,22500,16.535380374,16.535380,1377.727605
22000,22000,22000,15.251748378,15.251748,1396.298934
21500,21500,21500,11.846823557,11.846824,1677.812614
21000,21000,21000,8.663222060,8.663222,2138.003606
20500,20500,20500,11.239956672,11.239957,1532.946301
20000,20000,20000,11.542662342,11.542662,1386.162007
30000,30000,30000,25.884507345,25.884507,2086.189985
29500,29500,29500,24.661573123,24.661573,2081.973836
29000,29000,29000,23.278299894,23.278300,2095.427940
28500,28500,28500,22.774596505,22.774597,2032.890022
28000,28000,28000,22.909149049,22.909149,1916.439581
27500,27500,27500,22.008344112,22.008344,1889.908200
27000,27000,27000,20.499857711,20.499858,1920.306012
26500,26500,26500,18.911439149,18.911439,1968.081313
26000,26000,26000,23.990931319,23.990931,1465.220317
25500,25500,25500,20.465169074,20.465169,1620.448376
25000,25000,25000,22.158313059,22.158313,1410.305916
24500,24500,24500,17.267371146,17.267371,1703.342666
24000,24000,24000,18.729199417,18.729199,1476.197641
23500,23500,23500,12.221948849,12.221949,2123.699773
23000,23000,23000,17.308423800,17.308424,1405.905025
22500,22500,22500,11.898432036,11.898432,1914.643033
22000,22000,22000,11.441177159,11.441177,1861.346932
21500,21500,21500,10.816012758,10.816013,1837.715103
21000,21000,21000,11.606843820,11.606844,1595.782651
20500,20500,20500,10.880897150,10.880897,1583.532108
20000,20000,20000,11.547859621,11.547860,1385.538145
30000,30000,30000,25.748669629,25.748670,2097.195730
29500,29500,29500,26.050163594,26.050164,1970.995300
29000,29000,29000,24.669164590,24.669165,1977.286252
28500,28500,28500,24.411483554,24.411484,1896.576662
28000,28000,28000,19.871638700,19.871639,2209.379944
27500,27500,27500,23.025575219,23.025575,1806.415241
27000,27000,27000,20.024504182,20.024504,1965.891372
26500,26500,26500,21.726915505,21.726916,1713.048039
26000,26000,26000,22.492588385,22.492588,1562.825914
25500,25500,25500,19.963589996,19.963590,1661.161645
25000,25000,25000,22.186163210,22.186163,1408.535568
24500,24500,24500,17.089199982,17.089200,1721.101633
24000,24000,24000,18.477366671,18.477367,1496.317116
23500,23500,23500,13.680158119,13.680158,1897.328216
23000,23000,23000,17.458285085,17.458285,1393.836788
22500,22500,22500,12.262078579,12.262079,1857.862014
22000,22000,22000,11.403671898,11.403672,1867.468671
21500,21500,21500,9.421632813,9.421633,2109.692703
21000,21000,21000,12.203564798,12.203565,1517.753239
20500,20500,20500,10.680249481,10.680249,1613.281603
20000,20000,20000,11.536926735,11.536927,1386.851140
30000,30000,30000,30.330572765,30.330573,1780.381809
29500,29500,29500,34.974816593,34.974817,1468.049157
29000,29000,29000,23.866866664,23.866867,2043.753824
28500,28500,28500,25.437621096,25.437621,1820.069960
28000,28000,28000,22.948376077,22.948376,1913.163696
27500,27500,27500,22.573888096,22.573888,1842.560299
27000,27000,27000,26.104873079,26.104873,1507.994307
26500,26500,26500,21.684313760,21.684314,1716.413552
26000,26000,26000,24.583883724,24.583884,1429.879851
25500,25500,25500,22.776990222,22.776990,1455.975951
25000,25000,25000,22.231456310,22.231456,1405.665898
24500,24500,24500,19.343725320,19.343725,1520.505979
24000,24000,24000,19.668459618,19.668460,1405.702355
23500,23500,23500,13.777333203,13.777333,1883.945871
23000,23000,23000,12.931229036,12.931229,1881.801021
22500,22500,22500,16.346275564,16.346276,1393.666093
22000,22000,22000,9.550225146,9.550225,2229.895073
21500,21500,21500,14.269376877,14.269377,1392.965521
21000,21000,21000,11.683614680,11.683615,1585.297060
20500,20500,20500,12.643341275,12.643341,1362.792447
20000,20000,20000,11.649027942,11.649028,1373.505161
30000,30000,30000,34.004722495,34.004722,1588.014724
29500,29500,29500,25.983745418,25.983745,1976.033446
29000,29000,29000,27.991987274,27.991987,1742.570098
28500,28500,28500,22.544713850,22.544714,2053.618880
28000,28000,28000,24.302761305,24.302761,1806.543686
27500,27500,27500,19.176978248,19.176978,2168.941815
27000,27000,27000,26.435119409,26.435119,1489.155369
26500,26500,26500,25.769867489,25.769867,1444.293418
26000,26000,26000,20.773541323,20.773541,1692.152506
25500,25500,25500,23.384023977,23.384024,1418.179781
25000,25000,25000,22.258340495,22.258340,1403.968099
24500,24500,24500,19.141124422,19.141124,1536.599907
24000,24000,24000,18.696116645,18.696117,1478.809772
23500,23500,23500,18.182068397,18.182068,1427.546604
23000,23000,23000,17.442603612,17.442604,1395.089893
22500,22500,22500,12.195004820,12.195005,1868.080442
22000,22000,22000,11.539368825,11.539369,1845.508218
21500,21500,21500,9.364713478,9.364713,2122.515552
21000,21000,21000,12.330109348,12.330109,1502.176459
20500,20500,20500,11.102094606,11.102095,1551.981911
20000,20000,20000,11.374345916,11.374346,1406.674293
