m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,23.315690630,23.315691,2316.036907
30000,30000,30000,26.128103917,26.128104,2066.740096
30000,30000,30000,24.040573277,24.040573,2246.202675
30000,30000,30000,25.090181624,25.090182,2152.236313
30000,30000,30000,24.123359208,24.123359,2238.494214
30000,30000,30000,24.604401871,24.604402,2194.729231
30000,30000,30000,24.644271844,24.644272,2191.178556
30000,30000,30000,27.041083093,27.041083,1996.961431
30000,30000,30000,25.569969156,25.569969,2111.852371
30000,30000,30000,27.131738196,27.131738,1990.288997
30000,30000,30000,27.115836016,27.115836,1991.456209
30000,30000,30000,27.639577338,27.639577,1953.720180
30000,30000,30000,27.090179987,27.090180,1993.342238
30000,30000,30000,28.293142195,28.293142,1908.589708
30000,30000,30000,28.613469716,28.613470,1887.223064
30000,30000,30000,28.808875899,28.808876,1874.422320
30000,30000,30000,28.794862688,28.794863,1875.334520
30000,30000,30000,28.921679987,28.921680,1867.111455
30000,30000,30000,27.666167699,27.666168,1951.842430
30000,30000,30000,28.548620566,28.548621,1891.509955
30000,30000,30000,29.482759784,29.482760,1831.578875
30000,30000,30000,31.162585819,31.162586,1732.847213
30000,30000,30000,29.859334754,29.859335,1808.479675
30000,30000,30000,30.881277794,30.881278,1748.632306
30000,30000,30000,31.414168865,31.414169,1718.969559
30000,30000,30000,32.361982928,32.361983,1668.624575
30000,30000,30000,32.827396736,32.827397,1644.967477
30000,30000,30000,33.548521537,33.548522,1609.608934
30000,30000,30000,34.903574861,34.903575,1547.119463
30000,30000,30000,33.179366807,33.179367,1627.517496
30000,30000,30000,34.785997701,34.785998,1552.348749
30000,30000,30000,35.647232969,35.647233,1514.844085
30000,30000,30000,35.844168900,35.844169,1506.521190
30000,30000,30000,37.457163870,37.457164,1441.646789
30000,30000,30000,37.169416754,37.169417,1452.807300
30000,30000,30000,40.512880153,40.512880,1332.909430
30000,30000,30000,39.493372940,39.493373,1367.318008
30000,30000,30000,40.394703626,40.394704,1336.808917
30000,30000,30000,43.370295478,43.370295,1245.091817
30000,30000,30000,44.752175495,44.752175,1206.645250
30000,30000,30000,45.694374924,45.694375,1181.764716
30000,30000,30000,49.199759327,49.199759,1097.566345
30000,30000,30000,51.043382762,51.043383,1057.923615
30000,30000,30000,53.461833684,53.461834,1010.066365
30000,30000,30000,53.536639052,53.536639,1008.655025
30000,30000,30000,59.118243799,59.118244,913.423616
30000,30000,30000,59.226902765,59.226903,911.747829
30000,30000,30000,66.241924617,66.241925,815.193706
30000,30000,30000,69.946738403,69.946738,772.015983
30000,30000,30000,68.989093143,68.989093,782.732422
30000,30000,30000,73.783518972,73.783519,731.870759
30000,30000,30000,82.520844118,82.520844,654.380121
30000,30000,30000,82.238053421,82.238053,656.630328
30000,30000,30000,93.829085128,93.829085,575.514511
30000,30000,30000,102.480212186,102.480212,526.930993
30000,30000,30000,114.171001953,114.171002,472.974740
30000,30000,30000,115.002954064,115.002954,469.553156
30000,30000,30000,149.570354861,149.570355,361.034110
30000,30000,30000,149.869747677,149.869748,360.312877
30000,30000,30000,220.500223580,220.500224,244.897711
30000,30000,30000,292.335310656,292.335311,184.719389
30000,30000,30000,434.207483596,434.207484,124.364508
30000,30000,30000,436.189339733,436.189340,123.799449
30000,30000,30000,863.322329375,863.322329,62.549060
30000,30000,30000,25.527563698,25.527564,2115.360504
30000,30000,30000,26.133547352,26.133547,2066.309609
30000,30000,30000,24.332754828,24.332755,2219.230843
30000,30000,30000,24.145952665,24.145953,2236.399646
30000,30000,30000,26.462304189,26.462304,2040.638624
30000,30000,30000,25.725639062,25.725639,2099.073219
30000,30000,30000,26.144957341,26.144957,2065.407845
30000,30000,30000,24.878518379,24.878518,2170.547264
30000,30000,30000,26.722133541,26.722134,2020.796727
30000,30000,30000,27.195073742,27.195074,1985.653744
30000,30000,30000,26.954972011,26.954972,2003.340978
30000,30000,30000,27.430950381,27.430950,1968.579260
30000,30000,30000,26.910166496,26.910166,2006.676548
30000,30000,30000,28.266569708,28.266570,1910.383911
30000,30000,30000,28.682176866,28.682177,1882.702288
30000,30000,30000,27.446720592,27.446721,1967.448163
30000,30000,30000,28.608930664,28.608931,1887.522488
30000,30000,30000,28.895727500,28.895727,1868.788387
30000,30000,30000,28.342043414,28.342043,1905.296637
30000,30000,30000,29.560668324,29.560668,1826.751662
30000,30000,30000,28.640308305,28.640308,1885.454564
30000,30000,30000,29.990698009,29.990698,1800.558293
30000,30000,30000,30.148890443,30.148890,1791.110691
30000,30000,30000,31.808909603,31.808910,1697.637570
30000,30000,30000,32.636697229,32.636697,1654.579188
30000,30000,30000,31.959641341,31.959641,1689.630976
30000,30000,30000,31.790868288,31.790868,1698.600979
30000,30000,30000,34.450090365,34.450090,1567.485003
30000,30000,30000,33.822187128,33.822187,1596.585099
30000,30000,30000,34.090815283,34.090815,1584.004359
30000,30000,30000,36.205257254,36.205257,1491.496100
30000,30000,30000,35.678343756,35.678344,1513.523172
30000,30000,30000,35.949763569,35.949764,1502.096110
30000,30000,30000,37.887454262,37.887454,1425.273908
30000,30000,30000,36.747500782,36.747501,1469.487689
30000,30000,30000,40.068207500,40.068207,1347.701916
30000,30000,30000,39.753707523,39.753708,1358.363870
30000,30000,30000,41.050490200,41.050490,1315.453232
30000,30000,30000,43.736685362,43.736685,1234.661464
30000,30000,30000,45.872188179,45.872188,1177.183870
30000,30000,30000,45.542375999,45.542376,1185.708888
30000,30000,30000,49.034228139,49.034228,1101.271541
30000,30000,30000,51.200257603,51.200258,1054.682194
30000,30000,30000,53.771930508,53.771931,1004.241423
30000,30000,30000,53.888348497,53.888348,1002.071904
30000,30000,30000,59.053756159,59.053756,914.421089
