m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.029658391,0.029658,539.476332
2500,2500,2500,0.032555594,0.032556,959.896477
3000,3000,3000,0.043720958,0.043721,1235.105599
3500,3500,3500,0.058324305,0.058324,1470.227549
4000,4000,4000,0.077350262,0.077350,1654.810167
4500,4500,4500,0.099286375,0.099286,1835.599295
5000,5000,5000,0.138763163,0.138763,1801.630884
5500,5500,5500,0.204333934,0.204334,1628.461771
6000,6000,6000,0.255844864,0.255845,1688.523245
6500,6500,6500,0.359472020,0.359472,1527.935331
7000,7000,7000,0.456263638,0.456264,1503.516701
7500,7500,7500,0.641199090,0.641199,1315.893945
8000,8000,8000,0.791816031,0.791816,1293.229690
8500,8500,8500,1.009991973,1.009992,1216.098774
9000,9000,9000,1.129770666,1.129771,1290.527400
9500,9500,9500,1.420926991,1.420927,1206.782622
10000,10000,10000,1.557123025,1.557123,1284.420028
10500,10500,10500,1.843939938,1.843940,1255.599465
11000,11000,11000,1.885933832,1.885934,1411.502331
11500,11500,11500,2.285944517,2.285945,1330.631596
12000,12000,12000,2.227498012,2.227498,1551.516536
12500,12500,12500,2.799869694,2.799870,1395.154213
13000,13000,13000,3.146614153,3.146614,1396.421609
13500,13500,13500,3.479828466,3.479828,1414.078323
14000,14000,14000,3.814016917,3.814017,1438.902899
14500,14500,14500,3.247611071,3.247611,1877.456957
15000,15000,15000,4.574525901,4.574526,1475.562746
15500,15500,15500,3.814570408,3.814570,1952.447905
16000,16000,16000,5.426792396,5.426792,1509.547335
16500,16500,16500,4.459175598,4.459176,2014.778248
17000,17000,17000,4.861363295,4.861363,2021.243714
17500,17500,17500,6.636269845,6.636270,1615.176937
18000,18000,18000,5.462827714,5.462828,2135.157946
18500,18500,18500,6.022387234,6.022387,2102.696075
19000,19000,19000,7.983967736,7.983968,1718.193316
19500,19500,19500,6.822713302,6.822713,2173.585397
20000,20000,20000,7.289696161,7.289696,2194.878860
2000,2000,2000,0.027834021,0.027834,574.836097
2500,2500,2500,0.033508212,0.033508,932.607207
3000,3000,3000,0.042842639,0.042843,1260.426558
3500,3500,3500,0.064651741,0.064652,1326.337059
4000,4000,4000,0.068464304,0.068464,1869.587398
4500,4500,4500,0.095636912,0.095637,1905.644967
5000,5000,5000,0.125595074,0.125595,1990.523928
5500,5500,5500,0.166364208,0.166364,2000.129739
6000,6000,6000,0.225622626,0.225623,1914.701587
6500,6500,6500,0.346193161,0.346193,1586.542029
7000,7000,7000,0.473969664,0.473970,1447.350014
7500,7500,7500,0.630540063,0.630540,1338.138605
8000,8000,8000,0.797274416,0.797274,1284.375843
8500,8500,8500,1.013098884,1.013099,1212.369315
9000,9000,9000,1.134833013,1.134833,1284.770520
9500,9500,9500,1.349652102,1.349652,1270.512599
10000,10000,10000,1.548859991,1.548860,1291.272298
10500,10500,10500,1.875140036,1.875140,1234.707785
11000,11000,11000,2.027402589,2.027403,1313.010062
11500,11500,11500,2.298649391,2.298649,1323.277056
12000,12000,12000,2.221895440,2.221895,1555.428729
12500,12500,12500,2.813108469,2.813108,1388.588475
13000,13000,13000,3.130374210,3.130374,1403.666049
13500,13500,13500,3.481581137,3.481581,1413.366458
14000,14000,14000,3.811568130,3.811568,1439.827340
14500,14500,14500,3.257920066,3.257920,1871.516144
15000,15000,15000,4.570271916,4.570272,1476.936192
15500,15500,15500,3.794229193,3.794229,1962.915159
16000,16000,16000,5.441136226,5.441136,1505.567892
16500,16500,16500,4.472737824,4.472738,2008.669042
17000,17000,17000,4.870898174,4.870898,2017.287089
17500,17500,17500,6.610103311,6.610103,1621.570722
18000,18000,18000,5.492477441,5.492477,2123.631845
18500,18500,18500,7.559098895,7.559099,1675.232746
19000,19000,19000,8.007145349,8.007145,1713.219806
19500,19500,19500,6.875472769,6.875473,2156.906223
20000,20000,20000,8.972931159,8.972931,1783.140840
2000,2000,2000,0.028271615,0.028272,565.938663
2500,2500,2500,0.032519153,0.032519,960.972138
3000,3000,3000,0.043272707,0.043273,1247.899744
3500,3500,3500,0.063553401,0.063553,1349.259027
4000,4000,4000,0.069360160,0.069360,1845.439803
4500,4500,4500,0.098973395,0.098973,1841.403945
5000,5000,5000,0.122397592,0.122398,2042.523843
5500,5500,5500,0.160649588,0.160650,2071.278266
6000,6000,6000,0.251330731,0.251331,1718.850688
6500,6500,6500,0.330982617,0.330983,1659.452708
7000,7000,7000,0.482775415,0.482775,1420.950568
7500,7500,7500,0.650346739,0.650347,1297.384840
8000,8000,8000,0.812281070,0.812281,1260.647377
8500,8500,8500,1.019930829,1.019931,1204.248332
9000,9000,9000,1.190924669,1.190925,1224.258795
9500,9500,9500,1.408388205,1.408388,1217.526527
10000,10000,10000,1.536765823,1.536766,1301.434461
10500,10500,10500,1.858909751,1.858910,1245.488114
