m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,16.794869076,16.794869,3215.267696
29500,29500,29500,15.384762765,15.384763,3337.376779
29000,29000,29000,14.871417313,14.871417,3279.983271
28500,28500,28500,14.061302674,14.061303,3292.600342
28000,28000,28000,12.791006032,12.791006,3432.411797
27500,27500,27500,12.167167178,12.167167,3418.523753
27000,27000,27000,11.685709668,11.685710,3368.729938
26500,26500,26500,11.027095466,11.027095,3375.254174
26000,26000,26000,10.356493683,10.356494,3394.198951
25500,25500,25500,10.165432058,10.165432,3262.306000
25000,25000,25000,9.734956167,9.734956,3210.081223
24500,24500,24500,8.987890262,8.987890,3272.430920
24000,24000,24000,8.672091459,8.672091,3188.158258
23500,23500,23500,8.072097103,8.072097,3215.490308
23000,23000,23000,7.292220039,7.292220,3336.981039
22500,22500,22500,7.222044474,7.222044,3154.404557
22000,22000,22000,6.681585360,6.681585,3187.267520
21500,21500,21500,6.258333453,6.258333,3176.045212
21000,21000,21000,5.453753090,5.453753,3396.193354
20500,20500,20500,5.120771042,5.120771,3364.776488
20000,20000,20000,4.841036977,4.841037,3305.077006
19500,19500,19500,4.535524196,4.535524,3269.688212
19000,19000,19000,4.229042673,4.229043,3243.760127
18500,18500,18500,3.921191841,3.921192,3229.439036
18000,18000,18000,3.597015698,3.597016,3242.688100
17500,17500,17500,3.432600782,3.432601,3122.632278
17000,17000,17000,2.972665229,2.972665,3305.451251
16500,16500,16500,2.692948240,2.692948,3336.213399
16000,16000,16000,2.479104510,2.479105,3304.418982
15500,15500,15500,2.316922712,2.316923,3214.500838
15000,15000,15000,2.099593328,2.099593,3214.908292
14500,14500,14500,1.868392988,1.868393,3263.365919
14000,14000,14000,1.705156837,1.705157,3218.472272
13500,13500,13500,1.526736011,1.526736,3223.052292
13000,13000,13000,1.355770356,1.355770,3240.961849
12500,12500,12500,1.233267054,1.233267,3167.399946
12000,12000,12000,1.097505028,1.097505,3148.960517
11500,11500,11500,0.916295735,0.916296,3319.616019
11000,11000,11000,0.820945288,0.820945,3242.603422
10500,10500,10500,0.719327618,0.719328,3218.630763
10000,10000,10000,0.637945638,0.637946,3135.063367
9500,9500,9500,0.540840393,0.540840,3170.528722
9000,9000,9000,0.507056596,0.507057,2875.418664
8500,8500,8500,0.437013546,0.437014,2810.553612
8000,8000,8000,0.355433485,0.355433,2880.989111
7500,7500,7500,0.307326656,0.307327,2745.450105
7000,7000,7000,0.259503093,0.259503,2643.513771
6500,6500,6500,0.201503000,0.201503,2725.765869
6000,6000,6000,0.157714002,0.157714,2739.135362
5500,5500,5500,0.122817397,0.122817,2709.306728
