m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,33.288554384,33.288554,1622.179184
29500,29500,29500,31.581259551,31.581260,1625.798044
29000,29000,29000,30.070052687,30.070053,1622.145478
28500,28500,28500,28.524634955,28.524635,1623.097020
28000,28000,28000,27.025952750,27.025953,1624.512572
27500,27500,27500,25.526530261,25.526530,1629.432186
27000,27000,27000,24.277681331,24.277681,1621.489279
26500,26500,26500,22.831403681,22.831404,1630.177913
26000,26000,26000,21.672996298,21.672996,1621.926176
25500,25500,25500,20.217232551,20.217233,1640.320945
25000,25000,25000,19.312705136,19.312705,1618.105790
24500,24500,24500,18.065072777,18.065073,1628.127955
24000,24000,24000,17.003816410,17.003816,1625.987915
23500,23500,23500,16.029411994,16.029412,1619.257775
23000,23000,23000,14.976510677,14.976511,1624.811047
22500,22500,22500,13.983196425,13.983196,1629.187584
22000,22000,22000,13.114941921,13.114942,1623.796745
21500,21500,21500,12.165063283,12.165063,1633.920806
21000,21000,21000,11.314153739,11.314154,1637.064550
20500,20500,20500,10.453814585,10.453815,1648.226096
20000,20000,20000,9.863235055,9.863235,1622.185815
19500,19500,19500,9.054629827,9.054630,1637.808534
19000,19000,19000,8.468458797,8.468459,1619.893339
18500,18500,18500,7.837401666,7.837402,1615.745950
18000,18000,18000,7.164015036,7.164015,1628.137286
17500,17500,17500,6.598614244,6.598614,1624.394093
17000,17000,17000,6.023630195,6.023630,1631.242238
16500,16500,16500,5.534464566,5.534465,1623.327766
16000,16000,16000,5.024203717,5.024204,1630.507133
15500,15500,15500,4.532979264,4.532979,1643.014355
15000,15000,15000,4.192147720,4.192148,1610.153184
14500,14500,14500,3.738515177,3.738515,1630.928246
14000,14000,14000,3.360614160,3.360614,1633.034838
13500,13500,13500,3.038420083,3.038420,1619.509438
13000,13000,13000,2.712768225,2.712768,1619.747666
12500,12500,12500,2.409917921,2.409918,1620.905827
12000,12000,12000,2.149385823,2.149386,1607.901179
11500,11500,11500,1.878528963,1.878529,1619.219112
11000,11000,11000,1.640394470,1.640394,1622.780404
10500,10500,10500,1.429124193,1.429124,1620.048147
10000,10000,10000,1.246266984,1.246267,1604.792573
9500,9500,9500,1.063339944,1.063340,1612.607529
9000,9000,9000,0.902656558,0.902657,1615.232269
8500,8500,8500,0.763288433,0.763288,1609.155788
8000,8000,8000,0.633576143,0.633576,1616.222472
7500,7500,7500,0.525878224,0.525878,1604.458906
7000,7000,7000,0.431832308,0.431832,1588.579611
6500,6500,6500,0.346486904,0.346487,1585.196998
6000,6000,6000,0.277524312,0.277524,1556.620380
5500,5500,5500,0.214451923,0.214452,1551.629826
5000,5000,5000,0.167897780,0.167898,1489.001224
4500,4500,4500,0.121507240,0.121507,1499.910623
4000,4000,4000,0.086116321,0.086116,1486.361685
3500,3500,3500,0.062417782,0.062418,1373.807227
3000,3000,3000,0.040165617,0.040166,1344.433474
2500,2500,2500,0.026257452,0.026257,1190.138327
2000,2000,2000,0.016362811,0.016363,977.827098
