m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.016393059,0.016393,976.022840
2500,2500,2500,0.025998759,0.025999,1201.980448
3000,3000,3000,0.040782762,0.040783,1324.088839
3500,3500,3500,0.062293435,0.062293,1376.549551
4000,4000,4000,0.086080549,0.086081,1486.979364
4500,4500,4500,0.120908780,0.120909,1507.334703
5000,5000,5000,0.166756930,0.166757,1499.188070
5500,5500,5500,0.214716060,0.214716,1549.721060
6000,6000,6000,0.277697784,0.277698,1555.647992
6500,6500,6500,0.346270671,0.346271,1586.186894
7000,7000,7000,0.431418750,0.431419,1590.102424
7500,7500,7500,0.525575807,0.525576,1605.382114
8000,8000,8000,0.633101115,0.633101,1617.435155
8500,8500,8500,0.762621876,0.762622,1610.562244
9000,9000,9000,0.903615337,0.903615,1613.518430
9500,9500,9500,1.063349022,1.063349,1612.593762
10000,10000,10000,1.244644367,1.244644,1606.884708
10500,10500,10500,1.428084736,1.428085,1621.227328
11000,11000,11000,1.641837559,1.641838,1621.354065
11500,11500,11500,1.879385947,1.879386,1618.480762
12000,12000,12000,2.148739243,2.148739,1608.385015
12500,12500,12500,2.414126722,2.414127,1618.079931
13000,13000,13000,2.713568320,2.713568,1619.270083
13500,13500,13500,3.036764425,3.036764,1620.392402
14000,14000,14000,3.363161327,3.363161,1631.798022
14500,14500,14500,3.742682661,3.742683,1629.112204
15000,15000,15000,4.171916700,4.171917,1617.961356
15500,15500,15500,4.531230931,4.531231,1643.648296
16000,16000,16000,5.035301866,5.035302,1626.913384
16500,16500,16500,5.537211205,5.537211,1622.522542
17000,17000,17000,6.037285307,6.037285,1627.552700
17500,17500,17500,6.585004720,6.585005,1627.751301
18000,18000,18000,7.157846216,7.157846,1629.540458
18500,18500,18500,7.833655802,7.833656,1616.518560
19000,19000,19000,8.413189504,8.413190,1630.535006
19500,19500,19500,9.043522235,9.043522,1639.820151
20000,20000,20000,9.899390824,9.899391,1616.261069
20500,20500,20500,10.453239618,10.453240,1648.316754
21000,21000,21000,11.307223970,11.307224,1638.067845
21500,21500,21500,12.151685113,12.151685,1635.719640
22000,22000,22000,13.066581908,13.066582,1629.806490
22500,22500,22500,13.978244495,13.978244,1629.764740
23000,23000,23000,14.967295501,14.967296,1625.811423
23500,23500,23500,15.985356792,15.985357,1623.720405
24000,24000,24000,16.904052052,16.904052,1635.584173
24500,24500,24500,18.029257305,18.029257,1631.362263
25000,25000,25000,19.322933359,19.322933,1617.249277
25500,25500,25500,20.234858433,20.234858,1638.892118
26000,26000,26000,21.585571912,21.585572,1628.495189
26500,26500,26500,22.718946069,22.718946,1638.247209
27000,27000,27000,24.257207828,24.257208,1622.857844
27500,27500,27500,25.410370209,25.410370,1636.880913
28000,28000,28000,26.994095954,26.994096,1626.429723
28500,28500,28500,28.437212291,28.437212,1628.086801
29000,29000,29000,29.973674420,29.973674,1627.361374
29500,29500,29500,31.511154458,31.511154,1629.415072
30000,30000,30000,33.174135461,33.174135,1627.774145
