m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,26.636407082,26.636407,2027.300448
29500,29500,29500,26.360074076,26.360074,1947.822675
29000,29000,29000,26.536176040,26.536176,1838.169898
28500,28500,28500,21.196602469,21.196602,2184.229764
28000,28000,28000,19.958722828,19.958723,2199.739952
27500,27500,27500,19.509083898,19.509084,2132.019639
27000,27000,27000,18.683403711,18.683404,2107.003660
26500,26500,26500,18.046031729,18.046032,2062.461740
26000,26000,26000,19.733492345,19.733492,1781.336997
25500,25500,25500,13.250587286,13.250587,2502.738127
25000,25000,25000,16.002141751,16.002142,1952.863591
24500,24500,24500,14.627656794,14.627657,2010.728746
24000,24000,24000,13.870965560,13.870966,1993.228221
23500,23500,23500,12.352550041,12.352550,2101.246294
23000,23000,23000,14.017882864,14.017883,1735.925477
22500,22500,22500,9.516560273,9.516560,2393.853383
22000,22000,22000,12.763410861,12.763411,1668.519507
21500,21500,21500,11.902790232,11.902790,1669.923574
21000,21000,21000,11.128357472,11.128357,1664.396569
20500,20500,20500,6.883765523,6.883766,2503.026860
20000,20000,20000,7.129755442,7.129755,2244.116244
19500,19500,19500,6.228423848,6.228424,2380.979580
19000,19000,19000,6.253261963,6.253262,2193.735059
18500,18500,18500,5.486148930,5.486149,2308.222063
18000,18000,18000,4.778540092,4.778540,2440.912868
17500,17500,17500,5.068414334,5.068414,2114.813291
17000,17000,17000,4.706239987,4.706240,2087.866328
16500,16500,16500,4.349435863,4.349436,2065.612710
16000,16000,16000,3.903930132,3.903930,2098.398210
15500,15500,15500,3.656453485,3.656453,2036.878093
15000,15000,15000,3.281333020,3.281333,2057.090810
14500,14500,14500,2.996512073,2.996512,2034.782391
14000,14000,14000,2.730505755,2.730506,2009.884063
13500,13500,13500,2.557568537,2.557569,1923.995361
13000,13000,13000,2.291380129,2.291380,1917.621587
12500,12500,12500,1.978754449,1.978754,1974.095372
12000,12000,12000,1.695067952,1.695068,2038.856316
11500,11500,11500,1.539589802,1.539590,1975.688587
11000,11000,11000,1.458159997,1.458160,1825.588417
10500,10500,10500,1.232693158,1.232693,1878.204633
10000,10000,10000,1.126356648,1.126357,1775.636521
9500,9500,9500,0.961498318,0.961498,1783.414456
9000,9000,9000,0.889892398,0.889892,1638.400332
8500,8500,8500,0.790383286,0.790383,1553.992881
8000,8000,8000,0.602634256,0.602634,1699.206425
7500,7500,7500,0.516255349,0.516255,1634.365633
7000,7000,7000,0.439905731,0.439906,1559.425012
6500,6500,6500,0.346322941,0.346323,1585.947493
6000,6000,6000,0.238271061,0.238271,1813.061134
5500,5500,5500,0.166871147,0.166871,1994.053532
5000,5000,5000,0.133390949,0.133391,1874.190130
4500,4500,4500,0.099997999,0.099998,1822.536469
4000,4000,4000,0.073456452,0.073456,1742.529029
3500,3500,3500,0.055209314,0.055209,1553.179958
3000,3000,3000,0.042917961,0.042918,1258.214480
2500,2500,2500,0.029232904,0.029233,1069.000877
2000,2000,2000,0.020417092,0.020417,783.657144
30000,30000,30000,28.255147007,28.255147,1911.156222
29500,29500,29500,27.278157044,27.278157,1882.266090
29000,29000,29000,26.360809529,26.360810,1850.398409
28500,28500,28500,24.158445245,24.158445,1916.441622
28000,28000,28000,24.009819961,24.009820,1828.585140
27500,27500,27500,19.599167117,19.599167,2122.220284
27000,27000,27000,17.870178434,17.870178,2202.887909
26500,26500,26500,18.183040169,18.183040,2046.921178
26000,26000,26000,13.672063629,13.672064,2571.082241
25500,25500,25500,13.073609153,13.073609,2536.617824
25000,25000,25000,16.195612598,16.195613,1929.534916
24500,24500,24500,14.986789968,14.986790,1962.545019
24000,24000,24000,13.559136632,13.559137,2039.067881
23500,23500,23500,14.202094828,14.202095,1827.600105
23000,23000,23000,14.222919938,14.222920,1710.900441
22500,22500,22500,13.344118561,13.344119,1707.212799
22000,22000,22000,9.264325462,9.264325,2298.710261
21500,21500,21500,12.058348234,12.058348,1648.380824
21000,21000,21000,11.386414836,11.386415,1626.675320
20500,20500,20500,6.670271571,6.670272,2583.140704
20000,20000,20000,6.486859070,6.486859,2466.524990
19500,19500,19500,6.784491076,6.784491,2185.830865
19000,19000,19000,6.016166230,6.016166,2280.189655
18500,18500,18500,5.473384778,5.473385,2313.604929
18000,18000,18000,5.337808736,5.337809,2185.166344
17500,17500,17500,5.088401149,5.088401,2106.506481
17000,17000,17000,4.800103214,4.800103,2047.039316
16500,16500,16500,4.323854471,4.323854,2077.833577
16000,16000,16000,4.481158991,4.481159,1828.098493
15500,15500,15500,3.650932434,3.650932,2039.958322
15000,15000,15000,3.468268055,3.468268,1946.216351
14500,14500,14500,2.870174622,2.870175,2124.348098
14000,14000,14000,2.652496745,2.652497,2068.994056
13500,13500,13500,2.613024186,2.613024,1883.162822
13000,13000,13000,2.420930267,2.420930,1815.004777
12500,12500,12500,1.926059106,1.926059,2028.104946
12000,12000,12000,1.710367389,1.710367,2020.618507
11500,11500,11500,1.551861316,1.551861,1960.065612
11000,11000,11000,1.464292309,1.464292,1817.943032
10500,10500,10500,1.208988684,1.208989,1915.030331
10000,10000,10000,1.118122018,1.118122,1788.713546
9500,9500,9500,0.949786629,0.949787,1805.405496
9000,9000,9000,0.828990618,0.828991,1758.765381
8500,8500,8500,0.734113929,0.734114,1673.105429
8000,8000,8000,0.609350762,0.609351,1680.477098
7500,7500,7500,0.541975955,0.541976,1556.803383
7000,7000,7000,0.460475738,0.460476,1489.763615
6500,6500,6500,0.341297120,0.341297,1609.301596
6000,6000,6000,0.261128357,0.261128,1654.358818
5500,5500,5500,0.170775923,0.170776,1948.459678
5000,5000,5000,0.130048297,0.130048,1922.362736
4500,4500,4500,0.099582660,0.099583,1830.137898
4000,4000,4000,0.072907085,0.072907,1755.659275
3500,3500,3500,0.054721997,0.054722,1567.011526
3000,3000,3000,0.043079209,0.043079,1253.504910
2500,2500,2500,0.029285217,0.029285,1067.091290
2000,2000,2000,0.020355190,0.020355,786.040317
