m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,23.173362813,23.173363,2330.261708
29500,29500,29500,18.807654718,18.807655,2729.992164
29000,29000,29000,26.240942082,26.240942,1858.850946
28500,28500,28500,21.003094285,21.003094,2204.353767
28000,28000,28000,19.928091594,19.928092,2203.121146
27500,27500,27500,15.904867624,15.904868,2615.158515
27000,27000,27000,16.079883703,16.079884,2448.152034
26500,26500,26500,14.403936667,14.403937,2583.963736
26000,26000,26000,17.737946363,17.737946,1981.740123
25500,25500,25500,18.041944650,18.041945,1838.091771
25000,25000,25000,17.606185832,17.606186,1774.944346
24500,24500,24500,16.645870450,16.645870,1766.939740
24000,24000,24000,10.395164967,10.395165,2659.698051
23500,23500,23500,14.899222515,14.899223,1742.087547
23000,23000,23000,14.266524429,14.266524,1705.671211
22500,22500,22500,9.154345866,9.154346,2488.572131
22000,22000,22000,9.175453750,9.175454,2320.975134
21500,21500,21500,8.762119783,8.762120,2268.486450
21000,21000,21000,10.748834736,10.748835,1723.163529
20500,20500,20500,8.233943378,8.233943,2092.587866
20000,20000,20000,7.169136198,7.169136,2231.789097
30000,30000,30000,23.200301135,23.200301,2327.555995
29500,29500,29500,22.429395566,22.429396,2289.172254
29000,29000,29000,18.155773550,18.155774,2686.638488
28500,28500,28500,17.433972314,17.433972,2655.634021
28000,28000,28000,18.630662046,18.630662,2356.545349
27500,27500,27500,17.082948598,17.082949,2434.810932
27000,27000,27000,16.014039911,16.014040,2458.217927
26500,26500,26500,14.544845221,14.544845,2558.930634
26000,26000,26000,17.382120742,17.382121,2022.307895
25500,25500,25500,17.348658466,17.348658,1911.545499
25000,25000,25000,16.498587684,16.498588,1894.101519
24500,24500,24500,16.363085037,16.363085,1797.475839
24000,24000,24000,15.490963753,15.490964,1784.782435
23500,23500,23500,14.941781888,14.941782,1737.125478
23000,23000,23000,14.265917561,14.265918,1705.743770
22500,22500,22500,9.476193077,9.476193,2404.050848
22000,22000,22000,9.259022821,9.259023,2300.026732
21500,21500,21500,8.778394541,8.778395,2264.280776
21000,21000,21000,11.525170708,11.525171,1607.091163
20500,20500,20500,8.394761682,8.394762,2052.500196
20000,20000,20000,7.236833014,7.236833,2210.911868
30000,30000,30000,25.252352063,25.252352,2138.414666
29500,29500,29500,27.498205304,27.498205,1867.203675
29000,29000,29000,21.783298938,21.783299,2239.238425
28500,28500,28500,20.823005949,20.823006,2223.418181
28000,28000,28000,20.276291246,20.276291,2165.287501
27500,27500,27500,17.951121425,17.951121,2317.055799
27000,27000,27000,16.041141922,16.041142,2454.064691
26500,26500,26500,14.604405534,14.604406,2548.494693
26000,26000,26000,19.393884590,19.393885,1812.530122
25500,25500,25500,17.449272696,17.449273,1900.523339
25000,25000,25000,16.641126726,16.641127,1877.877653
24500,24500,24500,15.941515974,15.941516,1845.009599
24000,24000,24000,15.365489261,15.365489,1799.356957
23500,23500,23500,13.510700733,13.510701,1921.125374
23000,23000,23000,14.210207263,14.210207,1712.431040
22500,22500,22500,9.195059112,9.195059,2477.553404
22000,22000,22000,9.351827055,9.351827,2277.202078
21500,21500,21500,8.376348169,8.376348,2372.961295
21000,21000,21000,11.243517761,11.243518,1647.349201
20500,20500,20500,8.304696075,8.304696,2074.759852
20000,20000,20000,7.355254617,7.355255,2175.315585
30000,30000,30000,23.048791972,23.048792,2342.855976
29500,29500,29500,22.055269838,22.055270,2328.003710
29000,29000,29000,26.413123725,26.413124,1846.733484
28500,28500,28500,18.801021359,18.801021,2462.539088
28000,28000,28000,16.652013863,16.652014,2636.557978
27500,27500,27500,18.008869811,18.008870,2309.625781
27000,27000,27000,17.715649712,17.715650,2222.103092
26500,26500,26500,14.328601488,14.328601,2597.549386
26000,26000,26000,18.973989178,18.973989,1852.641512
25500,25500,25500,17.218944575,17.218945,1925.945569
25000,25000,25000,12.503725559,12.503726,2499.255110
24500,24500,24500,16.591077625,16.591078,1772.775142
24000,24000,24000,13.567140572,13.567141,2037.864932
23500,23500,23500,13.547979426,13.547979,1915.839195
23000,23000,23000,14.328857968,14.328858,1698.251183
22500,22500,22500,9.599878848,9.599879,2373.076823
22000,22000,22000,7.959885249,7.959885,2675.415453
21500,21500,21500,8.561118380,8.561118,2321.746893
21000,21000,21000,10.361022142,10.361022,1787.661463
20500,20500,20500,8.415838154,8.415838,2047.359952
20000,20000,20000,6.534022346,6.534022,2448.721347
30000,30000,30000,23.233834813,23.233835,2324.196605
29500,29500,29500,23.618795654,23.618796,2173.893655
29000,29000,29000,26.280842800,26.280843,1856.028757
28500,28500,28500,21.749459683,21.749460,2128.708054
28000,28000,28000,16.658855969,16.658856,2635.475094
27500,27500,27500,22.012223685,22.012224,1889.575110
27000,27000,27000,20.222368788,20.222369,1946.656221
26500,26500,26500,14.594982452,14.594982,2550.140099
26000,26000,26000,17.804636218,17.804636,1974.317227
25500,25500,25500,18.270497176,18.270497,1815.098390
25000,25000,25000,17.755408345,17.755408,1760.027108
24500,24500,24500,16.590565722,16.590566,1772.829842
24000,24000,24000,15.308564752,15.308565,1806.047820
23500,23500,23500,14.773439155,14.773439,1756.919951
23000,23000,23000,14.326984084,14.326984,1698.473304
22500,22500,22500,13.750467152,13.750467,1656.761894
22000,22000,22000,7.729251869,7.729252,2755.247256
21500,21500,21500,8.400860180,8.400860,2366.037474
21000,21000,21000,8.152079037,8.152079,2272.058443
20500,20500,20500,8.445889428,8.445889,2040.075252
20000,20000,20000,6.924480418,6.924480,2310.642681
