m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,24.899875215,24.899875,2168.685567
29500,29500,29500,23.163094452,23.163094,2216.661945
29000,29000,29000,21.855320759,21.855321,2231.859259
28500,28500,28500,21.740041166,21.740041,2129.630282
28000,28000,28000,19.719937007,19.719937,2226.376280
27500,27500,27500,21.581843314,21.581843,1927.256602
27000,27000,27000,20.645706837,20.645707,1906.740240
26500,26500,26500,19.400535669,19.400536,1918.465069
26000,26000,26000,19.886613900,19.886614,1767.621184
25500,25500,25500,18.740354045,18.740354,1769.590367
25000,25000,25000,17.773097064,17.773097,1758.275437
24500,24500,24500,16.061576919,16.061577,1831.218077
24000,24000,24000,15.296110635,15.296111,1807.518307
23500,23500,23500,14.598971474,14.598971,1777.916345
23000,23000,23000,14.223838527,14.223839,1710.789950
22500,22500,22500,9.677841753,9.677842,2353.959755
22000,22000,22000,9.356679793,9.356680,2276.021032
21500,21500,21500,8.822536875,8.822537,2252.951762
21000,21000,21000,8.092989214,8.092989,2288.647558
20500,20500,20500,6.664010197,6.664010,2585.567772
20000,20000,20000,6.733738057,6.733738,2376.094803
19500,19500,19500,6.054529712,6.054530,2449.364477
19000,19000,19000,5.966022452,5.966022,2299.354404
18500,18500,18500,5.380044395,5.380044,2353.744518
18000,18000,18000,5.306926774,5.306927,2197.882220
17500,17500,17500,4.856939761,4.856940,2206.893749
17000,17000,17000,4.680102640,4.680103,2099.526604
16500,16500,16500,4.015802025,4.015802,2237.224331
16000,16000,16000,3.054258023,3.054258,2682.157152
15500,15500,15500,3.357863913,3.357864,2218.002335
15000,15000,15000,3.342679625,3.342680,2019.338003
14500,14500,14500,3.026136123,3.026136,2014.863097
14000,14000,14000,2.746023548,2.746024,1998.526198
13500,13500,13500,2.617757773,2.617758,1879.757574
13000,13000,13000,2.429053690,2.429054,1808.934903
12500,12500,12500,2.183600579,2.183601,1788.903171
12000,12000,12000,2.021670285,2.021670,1709.477567
11500,11500,11500,1.538563643,1.538564,1977.006290
11000,11000,11000,1.727352962,1.727353,1541.086309
10500,10500,10500,1.275062821,1.275063,1815.792886
10000,10000,10000,1.133278274,1.133278,1764.791619
9500,9500,9500,0.955602629,0.955603,1794.417416
9000,9000,9000,0.841281686,0.841282,1733.069939
8500,8500,8500,0.718309159,0.718309,1709.918333
8000,8000,8000,0.609606650,0.609607,1679.771702
7500,7500,7500,0.542070920,0.542071,1556.530647
7000,7000,7000,0.444070196,0.444070,1544.800813
6500,6500,6500,0.350728759,0.350729,1566.024986
6000,6000,6000,0.264652417,0.264652,1632.329698
5500,5500,5500,0.169893139,0.169893,1958.584096
5000,5000,5000,0.130809779,0.130810,1911.172100
4500,4500,4500,0.098369278,0.098369,1852.712592
4000,4000,4000,0.074264049,0.074264,1723.579602
3500,3500,3500,0.055926876,0.055927,1533.252099
3000,3000,3000,0.043480394,0.043480,1241.939068
2500,2500,2500,0.029915108,0.029915,1044.622670
2000,2000,2000,0.020509129,0.020509,780.140395
30000,30000,30000,19.755227336,19.755227,2733.453738
29500,29500,29500,23.243197982,23.243198,2209.022616
29000,29000,29000,21.394234118,21.394234,2279.960093
28500,28500,28500,20.831714966,20.831715,2222.488647
28000,28000,28000,20.307299454,20.307299,2161.981218
27500,27500,27500,21.275641271,21.275641,1954.993952
27000,27000,27000,20.326672625,20.326673,1936.667192
26500,26500,26500,19.596886818,19.596887,1899.242994
26000,26000,26000,19.827718033,19.827718,1772.871691
25500,25500,25500,18.358999491,18.358999,1806.348435
25000,25000,25000,17.169202224,17.169202,1820.119514
24500,24500,24500,16.331851289,16.331851,1800.913410
24000,24000,24000,15.353994806,15.353995,1800.704009
23500,23500,23500,14.802978120,14.802978,1753.414062
23000,23000,23000,14.149298051,14.149298,1719.802630
22500,22500,22500,9.730490770,9.730491,2341.223124
22000,22000,22000,9.322637817,9.322638,2284.332012
21500,21500,21500,8.789912273,8.789912,2261.313809
21000,21000,21000,6.878001336,6.878001,2692.933469
20500,20500,20500,6.437616309,6.437616,2676.495332
20000,20000,20000,6.403464448,6.403464,2498.647432
19500,19500,19500,6.133889050,6.133889,2417.674966
19000,19000,19000,5.913808898,5.913809,2319.655612
18500,18500,18500,5.378421202,5.378421,2354.454871
18000,18000,18000,5.279685631,5.279686,2209.222445
17500,17500,17500,4.861107510,4.861108,2205.001633
17000,17000,17000,4.572358280,4.572358,2149.000450
16500,16500,16500,4.323504261,4.323504,2078.001884
16000,16000,16000,3.849426626,3.849427,2128.109143
15500,15500,15500,3.699420908,3.699421,2013.220497
15000,15000,15000,3.470793719,3.470794,1944.800108
14500,14500,14500,2.817900472,2.817900,2163.756336
14000,14000,14000,2.518258412,2.518258,2179.283895
13500,13500,13500,2.639220295,2.639220,1864.471113
13000,13000,13000,2.419087597,2.419088,1816.387305
12500,12500,12500,2.186450202,2.186450,1786.571675
12000,12000,12000,1.907502674,1.907503,1811.793004
11500,11500,11500,1.511841146,1.511841,2011.950798
11000,11000,11000,1.457542349,1.457542,1826.362028
10500,10500,10500,1.276567790,1.276568,1813.652215
10000,10000,10000,1.117319073,1.117319,1789.998979
9500,9500,9500,0.949669358,0.949669,1805.628439
9000,9000,9000,0.850128408,0.850128,1715.035030
8500,8500,8500,0.777761053,0.777761,1579.212530
8000,8000,8000,0.633772000,0.633772,1615.723004
7500,7500,7500,0.508719632,0.508720,1658.575661
7000,7000,7000,0.421678121,0.421678,1626.833278
6500,6500,6500,0.354517482,0.354517,1549.288901
6000,6000,6000,0.229291327,0.229291,1884.066029
5500,5500,5500,0.172017499,0.172017,1934.396221
5000,5000,5000,0.128712428,0.128712,1942.314382
4500,4500,4500,0.098698195,0.098698,1846.538328
4000,4000,4000,0.075126596,0.075127,1703.790759
3500,3500,3500,0.055360186,0.055360,1548.947108
3000,3000,3000,0.043361835,0.043362,1245.334751
2500,2500,2500,0.029563269,0.029563,1057.054956
2000,2000,2000,0.020654514,0.020655,774.649067
