m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,22.515085981,22.515086,2398.391907
29500,29500,29500,18.725240407,18.725240,2742.007519
29000,29000,29000,18.127477848,18.127478,2690.832139
28500,28500,28500,17.427735047,17.427735,2656.584454
28000,28000,28000,19.410639866,19.410640,2261.852278
27500,27500,27500,16.910320469,16.910320,2459.666573
27000,27000,27000,14.942762541,14.942763,2634.452625
26500,26500,26500,19.489021045,19.489021,1909.754724
26000,26000,26000,18.169019827,18.169020,1934.721869
25500,25500,25500,17.510502362,17.510502,1893.877703
25000,25000,25000,17.778614890,17.778615,1757.729733
24500,24500,24500,16.454416437,16.454416,1787.498822
24000,24000,24000,15.631087446,15.631087,1768.782888
23500,23500,23500,14.860711109,14.860711,1746.602152
23000,23000,23000,10.274875482,10.274875,2368.301206
22500,22500,22500,9.736206716,9.736207,2339.848636
22000,22000,22000,7.835862887,7.835863,2717.760674
21500,21500,21500,8.771038260,8.771038,2266.179831
21000,21000,21000,8.149068034,8.149068,2272.897946
20500,20500,20500,6.653332142,6.653332,2589.717398
20000,20000,20000,6.603769223,6.603769,2422.858743
30000,30000,30000,22.634297725,22.634298,2385.759905
29500,29500,29500,22.522813848,22.522814,2279.677413
29000,29000,29000,17.623657571,17.623658,2767.756909
28500,28500,28500,17.452364862,17.452365,2652.835324
28000,28000,28000,20.095465682,20.095466,2184.771465
27500,27500,27500,17.667651083,17.667651,2354.232026
27000,27000,27000,14.312647123,14.312647,2750.434609
26500,26500,26500,19.682434141,19.682434,1890.988164
26000,26000,26000,18.634355274,18.634355,1886.408168
25500,25500,25500,16.457839698,16.457840,2015.012335
25000,25000,25000,17.600117719,17.600118,1775.556306
24500,24500,24500,16.400519276,16.400519,1793.373094
24000,24000,24000,15.680567491,15.680567,1763.201492
23500,23500,23500,14.889141325,14.889141,1743.267085
23000,23000,23000,10.361450277,10.361450,2348.512935
22500,22500,22500,8.040304474,8.040304,2833.381506
22000,22000,22000,7.810011170,7.810011,2726.756664
21500,21500,21500,8.209019309,8.209019,2421.330643
21000,21000,21000,8.226498793,8.226499,2251.504615
20500,20500,20500,6.754825125,6.754825,2550.806228
20000,20000,20000,6.528857536,6.528858,2450.658467
30000,30000,30000,23.158913236,23.158913,2331.715631
29500,29500,29500,18.789703345,18.789703,2732.600353
29000,29000,29000,18.016760852,18.016761,2707.367900
28500,28500,28500,17.059181709,17.059182,2713.978360
28000,28000,28000,19.259066401,19.259066,2279.653597
27500,27500,27500,17.995833104,17.995833,2311.298941
27000,27000,27000,15.327539319,15.327539,2568.318318
26500,26500,26500,19.967222425,19.967222,1864.017399
26000,26000,26000,18.820844502,18.820845,1867.716403
25500,25500,25500,17.417757141,17.417757,1903.962131
25000,25000,25000,17.187657312,17.187657,1818.165177
24500,24500,24500,16.684845833,16.684846,1762.812213
24000,24000,24000,15.478419629,15.478420,1786.228870
23500,23500,23500,14.822748233,14.822748,1751.075414
23000,23000,23000,10.103528916,10.103529,2408.465419
22500,22500,22500,8.142089809,8.142090,2797.961031
22000,22000,22000,7.781718493,7.781718,2736.670572
21500,21500,21500,8.513702628,8.513703,2334.677504
21000,21000,21000,8.082575809,8.082576,2291.596199
20500,20500,20500,6.653133233,6.653133,2589.794822
20000,20000,20000,6.650984751,6.650985,2405.658801
30000,30000,30000,23.019300409,23.019300,2345.857565
29500,29500,29500,18.752972945,18.752973,2737.952545
29000,29000,29000,18.044288675,18.044289,2703.237622
28500,28500,28500,17.427831742,17.427832,2656.569715
28000,28000,28000,19.187480893,19.187481,2288.158630
27500,27500,27500,16.972845087,16.972845,2450.605646
27000,27000,27000,16.714203392,16.714203,2355.242369
26500,26500,26500,19.576563766,19.576564,1901.214659
26000,26000,26000,17.807645328,17.807645,1973.983609
25500,25500,25500,17.038352146,17.038352,1946.358997
25000,25000,25000,17.632917387,17.632917,1772.253525
24500,24500,24500,16.609487794,16.609488,1770.810176
24000,24000,24000,15.375760342,15.375760,1798.154978
23500,23500,23500,14.873687532,14.873688,1745.078343
23000,23000,23000,14.232281842,14.232282,1709.775022
22500,22500,22500,7.994416211,7.994416,2849.645227
22000,22000,22000,7.652461266,7.652461,2782.895497
21500,21500,21500,8.671006524,8.671007,2292.323267
21000,21000,21000,8.240677621,8.240678,2247.630699
20500,20500,20500,6.647787807,6.647788,2591.877253
20000,20000,20000,5.856318106,5.856318,2732.092026
30000,30000,30000,23.123720265,23.123720,2335.264368
29500,29500,29500,18.998789144,18.998789,2702.527493
29000,29000,29000,18.049887995,18.049888,2702.399041
28500,28500,28500,16.027117751,16.027118,2888.744609
28000,28000,28000,19.878145147,19.878145,2208.656777
27500,27500,27500,16.232827618,16.232828,2562.323150
27000,27000,27000,14.239321063,14.239321,2764.598103
26500,26500,26500,18.942364286,18.942364,1964.868241
26000,26000,26000,18.440041476,18.440041,1906.286385
25500,25500,25500,17.610217657,17.610218,1883.153897
25000,25000,25000,17.828124809,17.828125,1752.848397
24500,24500,24500,16.466288668,16.466289,1786.210031
24000,24000,24000,15.682888142,15.682888,1762.940585
23500,23500,23500,14.937411191,14.937411,1737.633762
23000,23000,23000,10.117105812,10.117106,2405.233320
22500,22500,22500,9.612432589,9.612433,2369.977609
22000,22000,22000,7.512400122,7.512400,2834.779785
21500,21500,21500,8.704940932,8.704941,2283.387119
21000,21000,21000,8.161399001,8.161399,2269.463850
20500,20500,20500,6.606960085,6.606960,2607.893763
20000,20000,20000,6.583350440,6.583350,2430.373432
