m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,21.602335991,21.602336,2499.729660
29500,29500,29500,22.031764178,22.031764,2330.487454
29000,29000,29000,17.351008476,17.351008,2811.248699
28500,28500,28500,16.153557631,16.153558,2866.133335
28000,28000,28000,15.603088316,15.603088,2813.801929
27500,27500,27500,13.485598915,13.485599,3084.308696
27000,27000,27000,12.926568477,12.926568,3045.355778
26500,26500,26500,12.356828212,12.356828,3012.039122
26000,26000,26000,11.858733733,11.858734,2964.228795
25500,25500,25500,12.909446819,12.909447,2568.874597
25000,25000,25000,12.542095149,12.542095,2491.609227
24500,24500,24500,12.474455285,12.474455,2357.798343
24000,24000,24000,11.301520199,11.301520,2446.396548
23500,23500,23500,10.735366161,10.735366,2417.779665
23000,23000,23000,10.952473370,10.952473,2221.781252
22500,22500,22500,10.245985727,10.245986,2223.431752
22000,22000,22000,9.282093508,9.282094,2294.310005
21500,21500,21500,7.653712643,7.653713,2597.007613
21000,21000,21000,7.077735399,7.077735,2616.938746
20500,20500,20500,6.426880456,6.426880,2680.966313
20000,20000,20000,5.402134875,5.402135,2961.792027
19500,19500,19500,5.674277447,5.674277,2613.504563
19000,19000,19000,4.814833668,4.814834,2849.111921
18500,18500,18500,5.152136638,5.152137,2457.863774
18000,18000,18000,4.564431524,4.564432,2555.411323
17500,17500,17500,3.967949969,3.967950,2701.331943
17000,17000,17000,3.395117571,3.395118,2894.156033
16500,16500,16500,3.586473117,3.586473,2505.037597
16000,16000,16000,2.927559077,2.927559,2798.235590
15500,15500,15500,2.813081835,2.813082,2647.541180
15000,15000,15000,2.549579341,2.549579,2647.495566
14500,14500,14500,2.423383138,2.423383,2516.007438
14000,14000,14000,2.187308256,2.187308,2509.019927
13500,13500,13500,1.945706272,1.945706,2529.030240
13000,13000,13000,1.720270211,1.720270,2554.249892
12500,12500,12500,1.580225814,1.580226,2471.956834
12000,12000,12000,1.394514191,1.394514,2478.282417
11500,11500,11500,1.381894183,1.381894,2201.145382
11000,11000,11000,1.228886062,1.228886,2166.189431
10500,10500,10500,0.915688208,0.915688,2528.426139
10000,10000,10000,0.794987221,0.794987,2515.763709
9500,9500,9500,0.676538143,0.676538,2534.594712
9000,9000,9000,0.578629893,0.578630,2519.745381
8500,8500,8500,0.458892757,0.458893,2676.551288
8000,8000,8000,0.420004909,0.420005,2438.066742
7500,7500,7500,0.331001551,0.331002,2549.081711
7000,7000,7000,0.300278447,0.300278,2284.546250
6500,6500,6500,0.225087310,0.225087,2440.164219
6000,6000,6000,0.189497776,0.189498,2279.710132
5500,5500,5500,0.160942620,0.160943,2067.507041
5000,5000,5000,0.115289489,0.115289,2168.454403
4500,4500,4500,0.101648691,0.101649,1792.939960
4000,4000,4000,0.059669916,0.059670,2145.134577
3500,3500,3500,0.049564283,0.049564,1730.076475
3000,3000,3000,0.026641431,0.026641,2026.918149
2500,2500,2500,0.019400412,0.019400,1610.790534
2000,2000,2000,0.011469478,0.011469,1395.006817
30000,30000,30000,18.158122028,18.158122,2973.875818
29500,29500,29500,18.973373356,18.973373,2706.147665
29000,29000,29000,17.071788536,17.071789,2857.228456
28500,28500,28500,18.175559927,18.175560,2547.280534
28000,28000,28000,14.204745477,14.204745,3090.798077
27500,27500,27500,13.582346052,13.582346,3062.339145
27000,27000,27000,13.346373153,13.346373,2949.565365
26500,26500,26500,12.334587923,12.334588,3017.470079
26000,26000,26000,11.842014980,11.842015,2968.413742
25500,25500,25500,13.083133324,13.083133,2534.771234
25000,25000,25000,11.815463749,11.815464,2644.839057
24500,24500,24500,12.563847720,12.563848,2341.022484
24000,24000,24000,11.921260917,11.921261,2319.217757
23500,23500,23500,10.808420880,10.808421,2401.437757
23000,23000,23000,10.893649791,10.893650,2233.778437
22500,22500,22500,10.042100312,10.042100,2268.574232
22000,22000,22000,9.833817507,9.833818,2165.588286
21500,21500,21500,8.132933185,8.132933,2443.982945
21000,21000,21000,6.876464774,6.876465,2693.535212
20500,20500,20500,6.428879026,6.428879,2680.132871
20000,20000,20000,5.355321294,5.355321,2987.682554
19500,19500,19500,5.372615556,5.372616,2760.247750
19000,19000,19000,4.858491001,4.858491,2823.510427
