m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,33.619435892,33.619436,1606.213744
29500,29500,29500,32.278847683,32.278848,1590.662421
29000,29000,29000,30.611310233,30.611310,1593.463319
28500,28500,28500,28.950161740,28.950162,1599.239770
28000,28000,28000,27.419800297,27.419800,1601.178693
27500,27500,27500,25.891044326,25.891044,1606.491784
27000,27000,27000,24.654002851,24.654003,1596.738681
26500,26500,26500,23.054758163,23.054758,1614.384750
26000,26000,26000,21.841857023,21.841857,1609.386966
25500,25500,25500,20.657594004,20.657594,1605.353944
25000,25000,25000,19.439866895,19.439867,1607.521295
24500,24500,24500,18.315411250,18.315411,1605.874397
24000,24000,24000,17.153969963,17.153970,1611.755183
23500,23500,23500,16.082381601,16.082382,1613.924520
23000,23000,23000,15.071373329,15.071373,1614.584117
22500,22500,22500,14.192491905,14.192492,1605.162092
22000,22000,22000,13.227713886,13.227714,1609.953177
21500,21500,21500,12.523306453,12.523306,1587.180676
21000,21000,21000,11.508790299,11.508790,1609.378529
20500,20500,20500,10.665784315,10.665784,1615.469570
20000,20000,20000,9.795378811,9.795379,1633.423302
19500,19500,19500,9.107982527,9.107983,1628.214586
19000,19000,19000,8.367291851,8.367292,1639.479086
18500,18500,18500,7.797815538,7.797816,1623.948391
18000,18000,18000,7.172258910,7.172259,1626.265887
17500,17500,17500,6.580818311,6.580818,1628.786800
17000,17000,17000,6.053859945,6.053860,1623.096684
16500,16500,16500,5.544867019,5.544867,1620.282320
16000,16000,16000,5.049186075,5.049186,1622.439712
15500,15500,15500,4.595218184,4.595218,1620.760909
15000,15000,15000,4.184184605,4.184185,1613.217541
14500,14500,14500,3.777704148,3.777704,1614.009399
14000,14000,14000,3.407268804,3.407269,1610.674213
13500,13500,13500,3.049117186,3.049117,1613.827774
13000,13000,13000,2.711955464,2.711955,1620.233097
12500,12500,12500,2.418479812,2.418480,1615.167503
12000,12000,12000,2.156665341,2.156665,1602.473937
11500,11500,11500,1.854739442,1.854739,1639.987769
11000,11000,11000,1.655284084,1.655284,1608.183167
10500,10500,10500,1.439530284,1.439530,1608.337126
10000,10000,10000,1.271814135,1.271814,1572.556826
9500,9500,9500,1.070206605,1.070207,1602.260715
9000,9000,9000,0.890057324,0.890057,1638.096739
8500,8500,8500,0.757608455,0.757608,1621.220027
8000,8000,8000,0.628730563,0.628731,1628.678579
