m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,21.098058106,21.098058,2559.477262
29500,29500,29500,18.964361207,18.964361,2707.433667
29000,29000,29000,19.630155236,19.630155,2484.850446
28500,28500,28500,17.727209734,17.727210,2611.705434
28000,28000,28000,16.306723370,16.306723,2692.386386
27500,27500,27500,14.803046384,14.803046,2809.810151
27000,27000,27000,13.427917707,13.427918,2931.653355
26500,26500,26500,12.921397713,12.921398,2880.435292
26000,26000,26000,13.720107528,13.720108,2562.079046
25500,25500,25500,11.422485653,11.422486,2903.286641
25000,25000,25000,10.526400688,10.526401,2968.726056
24500,24500,24500,11.878988870,11.878989,2475.989356
24000,24000,24000,8.961530450,8.961530,3085.187307
23500,23500,23500,9.737580999,9.737581,2665.523399
23000,23000,23000,8.740034693,8.740035,2784.199475
22500,22500,22500,8.406170256,8.406170,2710.062883
22000,22000,22000,8.976782438,8.976782,2372.342223
21500,21500,21500,7.532730678,7.532731,2638.717731
21000,21000,21000,6.928596789,6.928597,2673.268566
20500,20500,20500,7.343022083,7.343022,2346.479393
20000,20000,20000,6.046865824,6.046866,2645.998847
19500,19500,19500,5.287427732,5.287428,2804.719185
19000,19000,19000,4.825145785,4.825146,2843.022908
18500,18500,18500,4.651103443,4.651103,2722.633490
18000,18000,18000,4.164767912,4.164768,2800.636253
17500,17500,17500,3.832003933,3.832004,2797.165709
17000,17000,17000,3.434646653,3.434647,2860.847415
16500,16500,16500,3.862602266,3.862602,2325.957834
16000,16000,16000,3.295324834,3.295325,2485.946124
15500,15500,15500,2.930580559,2.930581,2541.390639
15000,15000,15000,2.535579293,2.535579,2662.113553
14500,14500,14500,2.264906598,2.264907,2692.053617
14000,14000,14000,2.152192631,2.152193,2549.957620
13500,13500,13500,1.955652768,1.955653,2516.167533
13000,13000,13000,1.726488418,1.726488,2545.050378
12500,12500,12500,1.589986391,1.589986,2456.782034
12000,12000,12000,1.423459250,1.423459,2427.888259
11500,11500,11500,1.315385063,1.315385,2312.440734
11000,11000,11000,1.172691717,1.172692,2269.991304
10500,10500,10500,0.909023049,0.909023,2546.965121
10000,10000,10000,0.776515196,0.776515,2575.609609
9500,9500,9500,0.672428848,0.672429,2550.083931
9000,9000,9000,0.597613503,0.597614,2439.703910
8500,8500,8500,0.474765785,0.474766,2587.065115
8000,8000,8000,0.424411342,0.424411,2412.753616
7500,7500,7500,0.326332336,0.326332,2585.554378
7000,7000,7000,0.298741437,0.298741,2296.300128
6500,6500,6500,0.229494219,0.229494,2393.306474
6000,6000,6000,0.202772466,0.202772,2130.466767
5500,5500,5500,0.159961502,0.159962,2080.188019
5000,5000,5000,0.116578990,0.116579,2144.468742
4500,4500,4500,0.098973295,0.098973,1841.405805
4000,4000,4000,0.058724116,0.058724,2179.683727
3500,3500,3500,0.049610557,0.049611,1728.462754
3000,3000,3000,0.026584943,0.026585,2031.224968
2500,2500,2500,0.018853811,0.018854,1657.489831
2000,2000,2000,0.010804223,0.010804,1480.902421
30000,30000,30000,21.227484609,21.227485,2543.871824
