m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,33.653858294,33.653858,1604.570850
29500,29500,29500,32.180770915,32.180771,1595.510255
29000,29000,29000,30.504151506,30.504152,1599.061032
28500,28500,28500,28.905242122,28.905242,1601.725037
28000,28000,28000,27.262326766,27.262327,1610.427473
27500,27500,27500,25.885227656,25.885228,1606.852779
27000,27000,27000,24.521509072,24.521509,1605.366125
26500,26500,26500,23.051032535,23.051033,1614.645676
26000,26000,26000,21.733482763,21.733483,1617.412192
25500,25500,25500,20.645416848,20.645417,1606.300819
25000,25000,25000,19.398070590,19.398071,1610.984961
24500,24500,24500,18.330704816,18.330705,1604.534593
24000,24000,24000,17.103795544,17.103796,1616.483308
23500,23500,23500,16.103863621,16.103864,1611.771598
23000,23000,23000,15.051182089,15.051182,1616.750090
22500,22500,22500,14.287746527,14.287747,1594.460677
22000,22000,22000,13.214962655,13.214963,1611.506635
21500,21500,21500,12.481157776,12.481158,1592.540560
21000,21000,21000,11.438229442,11.438229,1619.306563
20500,20500,20500,10.691863191,10.691863,1611.529225
20000,20000,20000,9.826318112,9.826318,1628.280279
19500,19500,19500,9.137334067,9.137334,1622.984329
19000,19000,19000,8.354939953,8.354940,1641.902883
18500,18500,18500,7.802605074,7.802605,1622.951550
18000,18000,18000,7.179368837,7.179369,1624.655351
17500,17500,17500,6.586737551,6.586738,1627.323074
17000,17000,17000,6.020720256,6.020720,1632.030651
16500,16500,16500,5.546575393,5.546575,1619.783265
16000,16000,16000,5.080956065,5.080956,1612.294988
15500,15500,15500,4.561405484,4.561405,1632.775254
15000,15000,15000,4.140280676,4.140281,1630.324253
14500,14500,14500,3.757251720,3.757252,1622.795185
14000,14000,14000,3.386784572,3.386785,1620.416027
13500,13500,13500,3.064344092,3.064344,1605.808569
13000,13000,13000,2.700197549,2.700198,1627.288345
12500,12500,12500,2.425550275,2.425550,1610.459301
12000,12000,12000,2.135193138,2.135193,1618.588941
11500,11500,11500,1.862341714,1.862342,1633.293169
11000,11000,11000,1.655924427,1.655924,1607.561285
10500,10500,10500,1.438152164,1.438152,1609.878327
10000,10000,10000,1.268523160,1.268523,1576.636567
9500,9500,9500,1.075520289,1.075520,1594.344633
9000,9000,9000,0.889848988,0.889849,1638.480259
8500,8500,8500,0.758566777,0.758567,1619.171887
8000,8000,8000,0.628566007,0.628566,1629.104960
7500,7500,7500,0.528902062,0.528902,1595.285896
7000,7000,7000,0.428694500,0.428694,1600.207141
6500,6500,6500,0.344243942,0.344244,1595.525536
6000,6000,6000,0.277148328,0.277148,1558.732117
5500,5500,5500,0.212461021,0.212461,1566.169636
5000,5000,5000,0.164410202,0.164410,1520.586904
4500,4500,4500,0.119605969,0.119606,1523.753384
4000,4000,4000,0.083353100,0.083353,1535.635747
3500,3500,3500,0.058598663,0.058599,1463.343967
3000,3000,3000,0.037698253,0.037698,1432.427121
2500,2500,2500,0.024492369,0.024492,1275.907610
2000,2000,2000,0.013545625,0.013546,1181.193190
30000,30000,30000,33.897814260,33.897814,1593.023066
29500,29500,29500,32.221554364,32.221554,1593.490786
29000,29000,29000,30.439522396,30.439522,1602.456154
28500,28500,28500,28.828760200,28.828760,1605.974370
28000,28000,28000,27.239061337,27.239061,1611.802971
27500,27500,27500,25.895445985,25.895446,1606.218716
27000,27000,27000,24.645042900,24.645043,1597.319192
26500,26500,26500,23.017789455,23.017789,1616.977602
26000,26000,26000,21.738374411,21.738374,1617.048236
25500,25500,25500,20.691275795,20.691276,1602.740707
